Document Title,Author Keywords,Abstract,Publication Year,Authors,Start Page,End Page,Pages count,Article Citation Count,DOI,Link,Document Identifier,Publisher
An empirical study on English to Hindi E-contents Machine Translation through multi engines,Example Based Machine Translation;Multi Engine Machine Translation;Machine Translation;Rule Based Machine Translation;Statistical Machine Translation,Empirical study presented here about the comparative view of translations through freely available English to Hindi machine translation engines. The selected Machine Translation engines are compared for computer science related text domain. The objective is to present the comparison amongst eight selected machine translation engines based on various comparison criteria. Three different English source text of computer science domain have randomly picked and translated those with eight selected engines. The outputs produced by different selected engines are compared on the basis of comparison criteria. The best fluent translation has been judged by expert human translator and assumed this translation as required quality translation of respective source text. This empirical study will be helpful in designing of Multi Engine Machine Translation architecture for domain specific English to Hindi language pair.,2014,A. H. Imam; M. R. Mahmud Arman; S. H. Chowdhury; K. Mahmood,1,6,6,3,10.1109/ICRITO.2014.7014735,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7014735,IEEE Conferences,IEEE
Neural Machine Translation for Cebuano to Tagalog with Subword Unit Translation,neural machine translation;recurrent neural network;subword unit translation;natural language processing,"The Philippines is an archipelago composed of 7, 641 different islands with more than 150 different languages. This linguistic differences and diversity, though may be seen as a beautiful feature, have contributed to the difficulty in the promotion of educational and cultural development of different domains in the country. An effective machine translation system solely dedicated to cater Philippine languages will surely help bridge this gap. In this research work, a never before applied approach for language translation to a Philippine language was used for a Cebuano to Tagalog translator. A Recurrent Neural Network was used to implement the translator using OpenNMT sequence modeling tool in TensorFlow. The performance of the translation was evaluated using the BLEU Score metric. For the Cebuano to Tagalog translation, BLEU produced a score of 20.01. A subword unit translation for verbs and copyable approach was performed where commonly seen mistranslated words from the source to the target were corrected. The BLEU score increased to 22.87. Though slightly higher, this score still indicates that the translation is somehow understandable but is not yet considered as a good translation.",2018,A. Hermanto; T. B. Adji; N. A. Setiawan,328,333,6,,10.1109/IALP.2018.8629153,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8629153,IEEE Conferences,IEEE
A Survey of Machine Translation Approaches for Konkani to English,Natural Language Processing;Machine Translation;Rule-Based Machine Translation;Statistical Machine Translation;Neural-Based Machine Translation;Hybrid-Based Machine Translation,"Machine Translation is a popular field in computer science. It's also a key part in the field of Natural Language Processing. Since India is a country where multiple languages are spoken there is a need for Language Translation. In this paper, we present a survey of several research works and the machine translation approaches mentioned in them. We begin with some well-established methodologies and further delve into more recent and hybrid techniques which are still in the state of improvement. We also compare these papers using several parameters such as the tools & technologies, datasets, advantages, disadvantages, and accuracy. We propose a machine translation model based on Statistical Machine Translation that will help us to translate from the Indian regional language Konkani to English and vice versa.",2020,A. Hossny; K. Shaalan; A. Fahmy,1,6,6,,10.1109/ic-ETITE47903.2020.110,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9077842,IEEE Conferences,IEEE
Dynamic Machine Translation of Croatian Academic Web Sites,web sites translation;machine translation;Domain Translator,"Web sites internationalization of Croatian web sites is a problem remained from the beginnings of web. In most cases, only some general information that are rarely changed are available in foreign languages, and the reason for that is the lack of human resources to make translations, as well as the need of software adaptations to support multilingualism. This paper analyses some lexical characteristics of the selected Croatian academic web sites, compared with some other, like daily newspapers and culinary web sites in order to find out their suitability for machine translation. The findings are compared to the actual state of our dynamic translation system for web contents, named as Domain Translator.",2019,A. Kaur; J. Rani,637,642,6,,10.23919/MIPRO.2019.8756643,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756643,IEEE Conferences,IEEE
Evaluation of the Validity of Back-Translation as a Method of Assessing the Accuracy of Machine Translation,machine translation;back translation;multilingual communication,"Inaccurate translation prevents effective communication between individuals and leads to misunderstandings. Back-translation is a process used to check the accuracy of a sentence by translating it to the checker's native language. We believe that there is a positive correlation between the accuracy of sentences translated to a target language and that of back-translated sentences. Some studies have discussed the validity of back-translation from the standpoint of the performance evaluation of machine translation systems and concluded that back-translation was unsuitable for checking translation accuracy. However, this result has been derived from the process of verification of whether there was a positive correlation between the accuracy of target-translated sentences and that of back-translated sentences. This mode of verification is not suitable to human verification of back-translation. In this paper, we verified the validity of back-translation from the standpoint of a human checker. We focused on differences that tend to occur between checkers, and determined whether there were differences between target- and back-translated sentences. Our study's contribution can be summarized as follows: (1) we examined the co-occurrence rate of each evaluated value in the same sentence and revealed possible differences in evaluated values between checkers, and (2) we defined an acceptable range of accuracy mismatch based on these differences. Moreover, we revealed how the rate of accuracy mismatch changes with the extension of the acceptable range, which can be different for different purposes. Our results enable people to judge whether they can use back-translation for their purposes.",2015,A. Kaur; V. Goyal,145,150,6,1,10.1109/Culture.and.Computing.2015.35,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7433246,IEEE Conferences,IEEE
Survey on Neural Machine Translation for multilingual translation system,Recurrent Neural Networks;Long Short-Term Memory;Machine Translation;Neural Machine Translation;Attention;sequence to sequence,"Neural Machine Translation (NMT) has provided promising results in the field of machine translation in recent times. As compared to the previously used rule-based methods or Statistical Machine Translation (SMT), NMT outperforms SMT in quite a few linguist categories. In this paper, we analyze various models, approaches and frameworks used in NMT to find an efficient method to create a translation system and to achieve accurate translation between Indian languages and English.",2019,A. Lucas; J. Hermiz; J. Labuzetta; Y. Arabadzhi; N. Karanjia; V. Gilja,443,448,6,2,10.1109/ICCMC.2019.8819788,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8819788,IEEE Conferences,IEEE
Evaluation of Arabic to English Machine Translation Systems,Machine Translation;Google translation;BLEU;Story Understanding;Arabic Text;Evaluation of Machine Translation,"Arabic machine translation has an important role in most NLP tasks. Many machine translation systems that support Arabic exist already; however the quality of the translation needs to be improved. In this paper, we review different research approaches for Arabic-to-English machine translation. The approaches use various evaluation methods, datasets, and tools to measure their performance. Moreover, this paper sheds light on several methods and assessment efforts, and future ideas to improve the machine translation quality of Arabic-to-English. The review results depict three major findings; first neural machine translation approaches outperform other approaches in many aspects. Second, the recently emerging attention-based approach is being useful to improve the performance of neural machine translation for all languages. Third, the translation performance quality depends on the quality of the dataset, well-behaved aligned corpus, and the evaluation technique used.",2020,A. M. Abualkishik; K. Omar,185,190,6,,10.1109/ICICS49469.2020.239518,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079094,IEEE Conferences,IEEE
"Statistical Machine Learning for Transliteration: Transliterating names between Sinhala, Tamil and English",statistical machine translation;transliteration;naive bayes;sinhala;tamil,"In this paper, we focus on building models for transliteration of personal names between the primary languages of Sri Lanka-namely Sinhala, Tamil and English. Currently, a Rule-based system has been used to transliterate names between Sinhala and Tamil. However, we found that it fails in several cases. Further, there were no systems available to transliterate names to English. In this paper, we present a hybrid approach where we use machine learning and statistical machine translation to do the transliteration. We built a parallel trilingual corpus of personal names. Then we trained a machine learner to classify names based on the ethnicity as we found it is an influencing factor in transliteration. Then we took the transliteration as a translation problem and applied statistical machine translation to generate the most probable transliteration for personal names. The system shows very promising results compared with the existing rule-based system. It gives a BLEU score of 89 in all the test cases and produces the top BLEU score of 93.7 for Sinhala to English transliteration.",2019,A. M. Khan; A. Khan,244,249,6,,10.1109/IALP48816.2019.9037651,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9037651,IEEE Conferences,IEEE
Transliteration and Byte Pair Encoding to Improve Tamil to Sinhala Neural Machine Translation,neural machine translation;transliteration;byte pair encoding;sinhala;tamil,"Neural Machine Translation (NMT) is the current state-of-the-art machine translation technique. However, applicability of NMT for language pairs that have high morphological variations is still debatable. Lack of language resources, especially a sufficiently large parallel corpus causes additional issues, which leads to very poor translation performance, when NMT is applied to languages with high morphological variations. In this paper, we present three techniques to improve domain-specific NMT performance of the under-resourced language pair Sinhala and Tamil that have high morphological variations. Out of these three techniques, transliteration is a novel approach to improve domain-specific NMT performance for language pairs such as Sinhala and Tamil that share a common grammatical structure and have moderate lexical similarity. We built the first transliteration system for Sinhala to English and Tamil to English, which provided an accuracy of 99.6%, when tested with the parallel corpus we used for NMT training. The other technique we employed is Byte Pair Encoding (BPE), which is a technique that has been used to achieve open vocabulary translation with a fixed vocabulary of subword symbols. Our experiments show that while the translation based on independent BPE models and pure transliteration perform moderately, integrating transliteration to build a joint BPE model for the aforementioned language pair increases the translation quality by 1.68 BLEU score.",2018,A. Megerdoumian; S. Khadivi,390,395,6,3,10.1109/MERCon.2018.8421939,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8421939,IEEE Conferences,IEEE
Confidence Modeling for Neural Machine Translation,machine translation;confidence estimation,"Current methods of neural machine translation output incorrect sentences together with sentences translated correctly. Consequently, users of neural machine translation algorithms do not have a way to check which outputted sentences have been translated correctly without employing an evaluation method. Therefore, we aim to define the confidence values in neural machine translation models. We suppose that setting a threshold to limit the confidence value would allow correctly translated sentences to exceed the threshold; thus, only clearly translated sentences would be outputted. Hence, users of such a translation tool can obtain a particular level of confidence in the translation correctness. We propose some indices; sentence log-likelihood, minimum variance, and average variance. After that, we calculated the correlation between each index and bilingual evaluation score (BLEU) to investigate the appropriateness of the defined confidence indices. As a result, sentence log-likelihood and average variance calculated by probability have a weak correlation with the BLEU score. Furthermore, when we set each index as the threshold value, we could obtain high quality translated sentences instead of outputting all translated sentences which include a wide range of quality sentences like previous work.",2019,A. O'Shea; G. Lightbody; G. Boylan; A. Temko,349,354,6,,10.1109/IALP48816.2019.9037709,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9037709,IEEE Conferences,IEEE
A Corpus Based N-gram Hybrid Approach of Bengali to English Machine Translation,Natural Language Processing (NLP);Machine Translation (MT);Hybrid Machine Translation (HMT);Bengali to English Translation;N-gram model;Bilingual corpus,"Machine translation means automatic translation which is performed using computer software. There are several approaches to machine translation, some of them need extensive linguistic knowledge while others require enormous statistical calculations. This paper presents a hybrid method, integrating corpus based approach and statistical approach for translating Bengali sentences into English with the help of N-gram language model. The corpus based method finds the corresponding target language translation of sentence fragments, selecting the best match text from the bilingual corpus to acquire knowledge while the N-gram model rearranges the sentence constituents to get an accurate translation without employing external linguistic rules. A variety of Bengali sentences, including various structures and verb tenses are considered to translate through the new system. The performance of the proposed system is evaluated in terms of adequacy, fluency, WER, and BLEU score. The assessment scores are compared with other conventional approaches as well as with Google Translate, a well-known free machine translation service by Google. It has been found that experimental results of the work provide higher scores over Google Translate and other methods with less computational cost.",2018,A. Pramodya; R. Pushpananda; R. Weerasinghe,1,6,6,1,10.1109/ICCITECHN.2018.8631938,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8631938,IEEE Conferences,IEEE
Automatic Acquisition of Semantic Elements Based on Statistical Decomposition,Machine Translation;semantic element;automatic acquisition;statistical decomposition,"The implement of machine translation system based on semantic element (SE) requires a large scale semantic element base. An automatic acquisition method for SEs based on statistical decomposition was proposed in this paper. Firstly, .analogical decomposition was applied to decompose abandonable SE and two conditions are found to assure the correctness of decomposition. Secondly, three statistics were designed, namely parameter index, translation index and language model index, to measure the rationality of analogical decomposition. Finally, multi-attribute decision making values for the above three statistics were prioritized to choose the best decomposition. Abandonable SE could be decomposed iteratively thereafter. Experimental results show that the accuracy has reached around 60%.",2008,A. R. Atmadja; A. Purwarianti,76,81,6,,10.1109/WSCS.2008.15,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4570820,IEEE Conferences,IEEE
Increasing SMT and NMT Performance by Corpus Extension with Free Online Machine Translation Services,Corpus Extension;Statistical Machine Translation;Neural Machine Translation;Under-Resourced Languages;ASEAN-MT Performance,"In machine translation, parallel corpora of source-target language pair are essential to improve the performance of the translation. However, the existing parallel corpora for the low resource language is not sufficient to improve the quality of the translation. In this paper, we explore the role of corpus extension by using the three freely available online machine translation services; “Google Translate�?, “SYSTRAN Translate�? and “Yandex Translate�? for English and Thai language pair. We compare three statistical and neural machine translation performances between the original ASEAN-MT corpus, and their extended version, which double the original size of the ASEAN-MT. The results showed that, for SMT models, extended Thai corpus can help improve the translation performance for th-en translation up to 2.6% and the extended English corpus can do so significantly for en-th translation up to 4.2%. While for the NMT model, the extended Thai corpus can improve the translation performance up to 5.5%.",2020,A. Rashid; A. Do-Omri; M. A. Haidar; Q. Liu; M. Rezagholizadeh,212,217,6,,10.1109/ICAIT51105.2020.9261772,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9261772,IEEE Conferences,IEEE
Image Semantic Extraction Using Latent Semantic Indexing on Image Retrieval Automatic-Annotation,Content-based image retrieval;automatic annotation;statistical machine translation;latent semantic indexing,"This research proposed a new method Latent Semantic Indexing to overcome semantic problem on image retrieval based on automatic image annotation. Statistical machine translation used to automatically annotates the image. This approach considers image annotation as the translation of image regions to words, similar to the translation of text from one language to another. The ""lexicon"" for the translation is learned from large annotated image collections, which consist of images that are associated with text. Images are segmented into regions with grid segmentation. A pre-specified feature vector represents each region. The regions then clustered into a finite set of blobs. The correspondences between the blobs and the words are learned using Expectation Maximization algorithm. These correspondences are used to predict words associated with whole images (auto-annotation). The auto-annotation performance is evaluated using Normalized Score (ENS) algorithm. The experimental results show that the average precision of clause queries achieved best result than word queries, 0.544 and 0.251 for clause queries and word queries respectively. The proposed method of latent semantic indexing succeeds to exploit semantic value of automatic-annotation-based image retrieval.",2009,A. Senapati; U. Garain,283,288,6,,10.1109/SoCPaR.2009.64,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5370355,IEEE Conferences,IEEE
Rule Based Machine Translation System from English to Tamil,Machine Translation;Syntax Based Approach;Lexicon;PoS;Parse;Paninian grammar,"The main goal of this research is to develop English-Tamil machine translation system using rule-based approaches. For rule based approach, considering the structural difference between English and Tamil languages, syntax transfer based methodology is adopted for translation. This translation engine is a parser, which analyzes the source text, and the corresponding target structure is generated through the transfer lexicon. Morphological generator for Tamil is required to generate the proper Tamil sentence.",2014,A. Tomar; J. Bodhankar; P. Kurariya; P. Anarase; P. Jain; A. Lele; H. Darbari; V. C. Bhavsar,158,163,6,2,10.1109/WCCCT.2014.50,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6755127,IEEE Conferences,IEEE
Study on machine translation approaches for Indian languages and their challenges,Source language;Target language;Machine Translation;computational linguistics,"This survey mainly focuses on the developments of machine translation for the Indian languages. The survey throws a light on rule-based approach, empirical based approach and hybrid based approaches for machine translation. Every approach has its own advantages and disadvantages. Machine Translation (MT) is a process which translates from one language to another language. Due to rapid globalisation there is an increased data over the web machine translation plays a very important role to reduce the language barrier between different regions. In a country like India with 22 official languages shows a high attention for the translation. This paper focuses on the different MT systems for Indian languages and also their challenges.",2016,A. Zifan; P. Liatsis,262,267,6,3,10.1109/ICEECCOT.2016.7955227,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7955227,IEEE Conferences,IEEE
On evaluation of interactive-predictive machine translation: Practical problems and suggestions,Statistical Machine Translation;Interactive-Predictive Machine Translation;Machine Translation Evaluation;Computer-Assisted Translation,"This paper first gives an overview on interactive-predictive machine translation systems. In such systems, the human translator translates the text while the machine provides completion to it. The user is given options to accept either the entire or a part of the suggested completion. Moreover, the user is also permitted to skip the suggestions and continue typing. Thereafter, we focus on TransType2 project, its architecture, and its evaluation methods. Furthermore we analyze the user log files of the last TransType2 Evaluation round. Eventually, according to the obtained analysis results, TransType2 project deliverables, and reports of human translators, we recommend several new features and adjustments to the current evaluation methodology of interactive-predictive machine translation systems. These new methods take advantage of the existing systems, add evaluation methods to them and modify them to result in qualified systems.",2010,Aye Thida Win,568,573,6,1,10.1109/ISTEL.2010.5734089,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5734089,IEEE Conferences,IEEE
Neural Machine Translation: English to Hindi,Machine Translation (MT);Neural Machine Translation (NMT);BLEU score;Attention Mechanism,"Machine Translation (MT) attempts to minimize the communication gap among people from various linguistic backgrounds. Automatic translation between pair of different natural languages is the task of MT mechanism, wherein Neural Machine Translation (NMT) attract attention because it offers reasonable translation accuracy in case of the context analysis and fluent translation. In this paper, two different NMT systems are carried out, namely, NMT-1 relies on the Long Short Term Memory (LSTM) based attention model and NMT-2 depends on the transformer model in the context of English to Hindi translation. System results are evaluated using Bilingual Evaluation Understudy (BLEU) metric. The average BLEU scores of NMT-1 system are 35.89 (Test-Set-1), 19.91 (Test-Set-2) and NMT-2 system are 34.42 (Test-Set-1), 24.74 (Test-Set-2) respectively. The results show better performance than existing NMT systems.",2019,B. Buz; T. Güngör,1,6,6,2,10.1109/CICT48419.2019.9066238,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066238,IEEE Conferences,IEEE
Preprocessors in NLP applications: In the context of English to Malayalam Machine Translation,preprocessor;machine translation;AnglaBharati,"Preprocessing the input text is an essential component in a Natural Language Processing (NLP) system. We are discussing the relevance of the preprocessors in the context of Machine Translation system developed by us based on AnglaBharati Technology. Whenever we come across with text for translation we encounter with the special formats in an input text and getting its appropriate translation is a difficult task. Sometimes they may not have definite grammatical structure and may not be able to handle using a language rule. This paper present a strategy to identify the special formats in English text like date, currency, number, time, quotes, acronym, parenthesis, etc for a rule based English Malayalam Machine Aided Translation system. AnglaBharati is a pattern directed rule based system with context free grammar like structure for English which generates a pseudo target for group of Indian languages. Preprocessor is one of the main modules in this translation System. Here it manipulates the English input text to produce an input which is more suitable for an engine to generate appropriate translation. Extensive research is carried out in this area to disambiguate and process the input text in order to get more suitable output from the translation engine.",2012,B. Ko; H. Byun,221,226,6,5,10.1109/INDCON.2012.6420619,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6420619,IEEE Conferences,IEEE
Japanese-Thai machine translation with generalized patterns,Japanese;Thai;Machine Translation;Pattern Based;Generalized Pattern,"Nowadays, most of modern approaches to machine translation are statistical-based method. However, its performance depends on the size of training corpus. This paper presents a pattern based method using small data to translate Japanese sentences into Thai language. We created 2,214 pair-patterns of Japanese and Thai and evaluated 3,107 sentences by using F-measure, PER and BLEU-score. The experiment confirms the effectiveness of the method introduced in this paper.",2012,B. Lu; B. K. Tsou,987,992,6,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6530478,IEEE Conferences,IEEE
