Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Machine Translation","Machine Translation","","1 / 1986 - 34 / 2020","","","","","http://link.springer.com/journal/10590","Journal"
"Machine Translation","Communications in Computer and Information Science","","","","10.1007/978-981-33-6162-1","Junhui LiAndy Way","2020","http://link.springer.com/book/10.1007/978-981-33-6162-1","Book"
"Machine Translation and the Information Soup","Lecture Notes in Computer Science","","","","10.1007/3-540-49478-2","David FarwellLaurie GerberEduard Hovy","1998","http://link.springer.com/book/10.1007/3-540-49478-2","Book"
"Machine Translation","Communications in Computer and Information Science","","","","10.1007/978-981-13-3083-4","Jiajun ChenJiajun Zhang","2019","http://link.springer.com/book/10.1007/978-981-13-3083-4","Book"
"Machine Translation","Communications in Computer and Information Science","","","","10.1007/978-3-662-45701-6","Xiaodong ShiYidong Chen","2014","http://link.springer.com/book/10.1007/978-3-662-45701-6","Book"
"Machine Translation","Communications in Computer and Information Science","","","","10.1007/978-981-15-1721-1","Shujian HuangKevin Knight","2019","http://link.springer.com/book/10.1007/978-981-15-1721-1","Book"
"Hybrid Approaches to Machine Translation","Theory and Applications of Natural Language Processing","","","","10.1007/978-3-319-21311-8","Marta R. Costa-jussàReinhard RappPatrik LambertKurt EberleRafael E. BanchsBogdan Babych","2016","http://link.springer.com/book/10.1007/978-3-319-21311-8","Book"
"Machine Translation","Communications in Computer and Information Science","","","","10.1007/978-981-10-3635-4","Muyun YangShujie Liu","2016","http://link.springer.com/book/10.1007/978-981-10-3635-4","Book"
"Machine Translation","Communications in Computer and Information Science","","","","10.1007/978-981-10-7134-8","Derek F. WongDeyi Xiong","2017","http://link.springer.com/book/10.1007/978-981-10-7134-8","Book"
"Introduction to the special issue on “Automated Metrics for Machine Translation Evaluation”","Machine Translation","","23","2 - 3","10.1007/s10590-010-9071-8","Alon LavieMark Przybocki","2009","http://link.springer.com/article/10.1007/s10590-010-9071-8","Article"
"machine translation","Computer Science and Communications Dictionary","","","","10.1007/1-4020-0613-6_10823","Martin H. Weik D.Sc.","2001","http://link.springer.com/referenceworkentry/10.1007/1-4020-0613-6_10823","ReferenceWorkEntry"
"ATTN: Machine translation makers and shakers, doers and watchers","Machine Translation","","7","1 - 2","10.1007/BF00239674","","1992","http://link.springer.com/article/10.1007/BF00239674","Article"
"Post-editing neural machine translation versus phrase-based machine translation for English–Chinese","Machine Translation","","33","1 - 2","10.1007/s10590-019-09229-6","Yanfang JiaMichael CarlXiangling Wang","2019","http://link.springer.com/article/10.1007/s10590-019-09229-6","Article"
"Quality Estimation for Machine Translation with Multi-granularity Interaction","Machine Translation","","","","10.1007/978-981-33-6162-1_5","Ke TianJiajun Zhang","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_5","Chapter"
"Analysis of the Chinese – Portuguese Machine Translation of Chinese Localizers Qian and Hou","Machine Translation","","","","10.1007/978-3-662-45701-6_7","Chunhui LuAna LealPaulo QuaresmaMárcia Schmaltz","2014","http://link.springer.com/chapter/10.1007/978-3-662-45701-6_7","Chapter"
"Adjusting Machine Translation Datasets for Document-Level Cross-Language Information Retrieval: Methodology","Text, Speech, and Dialogue","","","","10.1007/978-3-030-00794-2_9","Gennady ShtekhPolina KazakovaNikita Nikitinsky","2018","http://link.springer.com/chapter/10.1007/978-3-030-00794-2_9","Chapter"
"Finding the Right Words: An Analysis of Not-Translated Words in Machine Translation","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_32","Flo ReederDan Loehr","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_32","Chapter"
"Incorporating Syntactic Knowledge in Neural Quality Estimation for Machine Translation","Machine Translation","","","","10.1007/978-981-15-1721-1_3","Na YeYuanyuan WangDongfeng Cai","2019","http://link.springer.com/chapter/10.1007/978-981-15-1721-1_3","Chapter"
"A Reordering Model for Phrase-Based Machine Translation","Advances in Natural Language Processing","","","","10.1007/978-3-540-85287-2_45","Vinh Van NguyenThai Phuong NguyenAkira ShimazuMinh Le Nguyen","2008","http://link.springer.com/chapter/10.1007/978-3-540-85287-2_45","Chapter"
"Systematic Evaluation of Machine Translation Methods for Image and Video Annotation","Image and Video Retrieval","","","","10.1007/11526346_21","Paola VirgaPınar Duygulu","2005","http://link.springer.com/chapter/10.1007/11526346_21","Chapter"
"Czech-English Phrase-Based Machine Translation","Advances in Natural Language Processing","","","","10.1007/11816508_23","Ondřej BojarEvgeny MatusovHermann Ney","2006","http://link.springer.com/chapter/10.1007/11816508_23","Chapter"
"Dependency-Based Chinese-English Statistical Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-70939-8_34","Xiaodong ShiYidong ChenJianfeng Jia","2007","http://link.springer.com/chapter/10.1007/978-3-540-70939-8_34","Chapter"
"Translation Paraphrases in Phrase-Based Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-78135-6_33","Francisco GuzmánLeonardo Garrido","2008","http://link.springer.com/chapter/10.1007/978-3-540-78135-6_33","Chapter"
"Modified BLEU for Measuring Performance of a Machine-Translation Software","Information Systems for Indian Languages","","","","10.1007/978-3-642-19403-0_51","Kalyan JoshiM. B. Rajarshi","2011","http://link.springer.com/chapter/10.1007/978-3-642-19403-0_51","Chapter"
"Target Word Selection Using WordNet and Data-Driven Models in Machine Translation","PRICAI 2002: Trends in Artificial Intelligence","","","","10.1007/3-540-45683-X_77","Yuseop KimJeong-Ho ChangByoung-Tak Zhang","2002","http://link.springer.com/chapter/10.1007/3-540-45683-X_77","Chapter"
"ELEXR: Automatic Evaluation of Machine Translation Using Lexical Relationships","Advances in Artificial Intelligence and Its Applications","","","","10.1007/978-3-642-45114-0_32","Alireza MahmoudiHeshaam FailiMohammad Hossein DehghanJalal Maleki","2013","http://link.springer.com/chapter/10.1007/978-3-642-45114-0_32","Chapter"
"Adding Multilingual Terminological Resources to Parallel Corpora for Statistical Machine Translation Deteriorates System Performance: A Negative Result from Experiments in the Biomedical Domain","Text, Speech, and Dialogue","","","","10.1007/978-3-319-24033-6_57","Johannes HellrichUdo Hahn","2015","http://link.springer.com/chapter/10.1007/978-3-319-24033-6_57","Chapter"
"A Prolog-based Korean-English Machine Translation System and its efficient method of dictionary management","Logic Programming '85","","","","10.1007/3-540-16479-0_23","J. M. ChoiM. S. SongK. J. JeongH. C. KwonS. Y. HanY. T. Kim","1986","http://link.springer.com/chapter/10.1007/3-540-16479-0_23","Chapter"
"A Lost Croatian Cybernetic Machine Translation Program","Guide to Deep Learning Basics","","","","10.1007/978-3-030-37591-1_7","Sandro SkansiLeo MršićInes Skelac","2020","http://link.springer.com/chapter/10.1007/978-3-030-37591-1_7","Chapter"
"Word-Level Confidence Estimation for Statistical Machine Translation Using IBM-1 Model","Artificial Intelligence and Signal Processing","","","","10.1007/978-3-319-10849-0_25","Mohammad Mahdi MahsuliShahram Khadivi","2014","http://link.springer.com/chapter/10.1007/978-3-319-10849-0_25","Chapter"
"Phrase-Level Pattern-Based Machine Translation Based on Analogical Mapping Method","Advances in Natural Language Processing","","","","10.1007/978-3-642-33983-7_4","Jun SakataMasato TokuhisaJin’ichi Murakami","2012","http://link.springer.com/chapter/10.1007/978-3-642-33983-7_4","Chapter"
"Ensemble Distilling Pretrained Language Models for Machine Translation Quality Estimation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-60457-8_19","Hui HuangHui DiJin’an XuKazushige OuchiYufeng Chen","2020","http://link.springer.com/chapter/10.1007/978-3-030-60457-8_19","Chapter"
"Text Classification in the Domain of Applied Linguistics as Part of a Pre-editing Module for Machine Translation Systems","Speech and Computer","","","","10.1007/978-3-319-43958-7_84","Ksenia Oskina","2016","http://link.springer.com/chapter/10.1007/978-3-319-43958-7_84","Chapter"
"Ruslan Mitkov, Johanna Monti, Gloria Corpas Pastor, and Violeta Seretan (eds): Multiword units in machine translation and translation technology","Machine Translation","","33","4","10.1007/s10590-019-09239-4","Rejwanul HaqueMohammed HasanuzzamanAndy Way","2019","http://link.springer.com/article/10.1007/s10590-019-09239-4","Article"
"Chinese–Spanish neural machine translation enhanced with character and word bitmap fonts","Machine Translation","","31","1 - 2","10.1007/s10590-017-9196-0","Marta R. Costa-jussàDavid AldónJosé A. R. Fonollosa","2017","http://link.springer.com/article/10.1007/s10590-017-9196-0","Article"
"NJUNLP’s Machine Translation System for CCMT-2020 Uighur 
            
              
            
            $$\rightarrow $$
            
              →
            
           Chinese Translation Task","Machine Translation","","","","10.1007/978-981-33-6162-1_7","Dongqi WangZihan LiuQingnan JiangZewei SunShujian HuangJiajun Chen","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_7","Chapter"
"Malay-Corpus-Enhanced Indonesian-Chinese Neural Machine Translation","Computational Intelligence and Intelligent Systems","","","","10.1007/978-981-13-6473-0_21","Wuying LiuLin Wang","2019","http://link.springer.com/chapter/10.1007/978-981-13-6473-0_21","Chapter"
"An Integrated Reordering Model for Statistical Machine Translation","MICAI 2007: Advances in Artificial Intelligence","","","","10.1007/978-3-540-76631-5_91","Wen-Han ChaoZhou-Jun LiYue-Xin Chen","2007","http://link.springer.com/chapter/10.1007/978-3-540-76631-5_91","Chapter"
"Machine Translation of Legal Information and Its Evaluation","Advances in Artificial Intelligence","","","","10.1007/978-3-642-01818-3_9","Atefeh FarzindarGuy Lapalme","2009","http://link.springer.com/chapter/10.1007/978-3-642-01818-3_9","Chapter"
"Neural Machine Translation with Attention Based on a New Syntactic Branch Distance","Machine Translation","","","","10.1007/978-981-15-1721-1_5","Ru PengZhitao ChenTianyong HaoYi Fang","2019","http://link.springer.com/chapter/10.1007/978-981-15-1721-1_5","Chapter"
"Automatic Machine Translation Evaluation with Part-of-Speech Information","Text, Speech, and Dialogue","","","","10.1007/978-3-642-40585-3_16","Aaron L. -F. HanDerek F. WongLidia S. ChaoLiangye He","2013","http://link.springer.com/chapter/10.1007/978-3-642-40585-3_16","Chapter"
"Neural Machine Translation Based on Prioritized Experience Replay","Artificial Neural Networks and Machine Learning – ICANN 2020","","","","10.1007/978-3-030-61616-8_29","Shuo SunHongxu HouNier WuZiyue Guo","2020","http://link.springer.com/chapter/10.1007/978-3-030-61616-8_29","Chapter"
"Unification based machine translation","Natural Language and Logic","","","","10.1007/3-540-53082-7_23","Christian Rohrer","1990","http://link.springer.com/chapter/10.1007/3-540-53082-7_23","Chapter"
"Automatic Evaluation of Machine Translation Through the Residual Analysis","Advanced Intelligent Computing Theories and Applications","","","","10.1007/978-3-319-22053-6_51","Daša MunkováMichal Munk","2015","http://link.springer.com/chapter/10.1007/978-3-319-22053-6_51","Chapter"
"Application of Machine Translation in China-America Digital Academic Library","Intelligent Information Processing III","","","","10.1007/978-0-387-44641-7_53","Chen HuangHaiying Chen","2007","http://link.springer.com/chapter/10.1007/978-0-387-44641-7_53","Chapter"
"A Classifier-Based Preordering Approach for English-Vietnamese Statistical Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-75487-1_7","Viet Hong TranHuyen Thuong VuVinh Van NguyenMinh Le Nguyen","2018","http://link.springer.com/chapter/10.1007/978-3-319-75487-1_7","Chapter"
"Automatic Building of a Machine Translation Bilingual Dictionary Using Recursive Chain-Link-Type Learning from a Parallel Corpus","MICAI 2004: Advances in Artificial Intelligence","","","","10.1007/978-3-540-24694-7_42","Hiroshi Echizen-yaKenji ArakiYoshio MomouchiKoji Tochinai","2004","http://link.springer.com/chapter/10.1007/978-3-540-24694-7_42","Chapter"
"Integration of Neural Machine Translation Systems for Formatting-Rich Document Translation","Natural Language Processing and Information Systems","","","","10.1007/978-3-319-91947-8_51","Mārcis PinnisRaivis SkadiņšValters ŠicsToms Miks","2018","http://link.springer.com/chapter/10.1007/978-3-319-91947-8_51","Chapter"
"A Machine-Translation Method for Normalization of SMS","Pattern Recognition","","","","10.1007/978-3-642-31149-9_30","Darnes VilariñoDavid PintoBeatriz BeltránSaul LeónEsteban CastilloMireya Tovar","2012","http://link.springer.com/chapter/10.1007/978-3-642-31149-9_30","Chapter"
"Philipp Koehn, Statistical machine translation","Machine Translation","","24","3 - 4","10.1007/s10590-010-9083-4","Felipe Sánchez-MartínezJuan Antonio Pérez-Ortiz","2010","http://link.springer.com/article/10.1007/s10590-010-9083-4","Article"
"Integrating Knowledge Encoded by Linguistic Phenomena of Indian Languages with Neural Machine Translation","Mining Intelligence and Knowledge Exploration","","","","10.1007/978-3-319-71928-3_28","Ruchit AgrawalMihir ShekharDipti Misra","2017","http://link.springer.com/chapter/10.1007/978-3-319-71928-3_28","Chapter"
"From syntax to semantics: Insights from machine translation","Machine Translation","","4","3","10.1007/BF00420844","Rudi Gebruers","1989","http://link.springer.com/article/10.1007/BF00420844","Article"
"Statistical Machine Translation","Encyclopedia of Machine Learning","","","","10.1007/978-0-387-30164-8_783","Miles Osborne","2010","http://link.springer.com/referenceworkentry/10.1007/978-0-387-30164-8_783","ReferenceWorkEntry"
"Sparse Hierarchical Modeling of Deep Contextual Attention for Document-Level Neural Machine Translation","Neural Information Processing","","","","10.1007/978-3-030-63830-6_67","Jianshen ZhangYong LiaoYongAn LiGongshen Liu","2020","http://link.springer.com/chapter/10.1007/978-3-030-63830-6_67","Chapter"
"Experimenting with Different Machine Translation Models in Medium-Resource Settings","Text, Speech, and Dialogue","","","","10.1007/978-3-030-58323-1_10","Haukur Páll JónssonHaukur Barri SímonarsonVésteinn SnæbjarnarsonSteinþór SteingrímssonHrafn Loftsson","2020","http://link.springer.com/chapter/10.1007/978-3-030-58323-1_10","Chapter"
"Mongolian-Chinese Unsupervised Neural Machine Translation with Lexical Feature","Chinese Computational Linguistics","","","","10.1007/978-3-030-32381-3_27","Ziyu WuHongxu HouZiyue GuoXuejiao WangShuo Sun","2019","http://link.springer.com/chapter/10.1007/978-3-030-32381-3_27","Chapter"
"A Machine Translation System for Translating from the Polish Natural Language into the Sign Language","Intelligent Information and Database Systems","","","","10.1007/978-3-319-15702-3_9","Wojciech KoziolHubert WojtowiczDaniel SzymczykKazimierz SikoraWieslaw Wajs","2015","http://link.springer.com/chapter/10.1007/978-3-319-15702-3_9","Chapter"
"Korean-Chinese Machine Translation Based on Verb Patterns","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_10","Changhyun KimMunpyo HongYinxia HuangYoung Kil KimSung Il YangYoung Ae SeoSung-Kwon Choi","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_10","Chapter"
"EUROGENE: Multilingual Retrieval and Machine Translation Applied to Human Genetics","Advances in Information Retrieval","","","","10.1007/978-3-642-12275-0_74","Petr KnothTrevor CollinsElsa SklavounouZdenek Zdrahal","2010","http://link.springer.com/chapter/10.1007/978-3-642-12275-0_74","Chapter"
"Treatment of Quantifiers in Chinese-Japanese Machine Translation","Computational Intelligence","","","","10.1007/978-3-540-37275-2_117","Dapeng YinMin ShaoPeilin JiangFuji RenShingo Kuroiwa","2006","http://link.springer.com/chapter/10.1007/978-3-540-37275-2_117","Chapter"
"Compact WFSA Based Language Model and Its Application in Statistical Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-642-34456-5_15","Xiaoyin FuWei WeiShixiang LuDengfeng KeBo Xu","2012","http://link.springer.com/chapter/10.1007/978-3-642-34456-5_15","Chapter"
"Tsinghua University Neural Machine Translation Systems for CCMT 2020","Machine Translation","","","","10.1007/978-981-33-6162-1_9","Gang ChenShuo WangXuancheng HuangZhixing TanMaosong SunYang Liu","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_9","Chapter"
"An Experiment in Spanish-Portuguese Statistical Machine Translation","Advances in Artificial Intelligence - SBIA 2008","","","","10.1007/978-3-540-88190-2_30","Wilker Ferreira AzizThiago Alexandre Salgueiro PardoIvandré Paraboni","2008","http://link.springer.com/chapter/10.1007/978-3-540-88190-2_30","Chapter"
"A General Framework to Deal with the Scaling Problem in Phrase-Based Statistical Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/978-3-540-72849-8_40","Daniel OrtizIsmael García VareaFrancisco Casacuberta","2007","http://link.springer.com/chapter/10.1007/978-3-540-72849-8_40","Chapter"
"Czech-Sign Speech Corpus for Semantic Based Machine Translation","Text, Speech and Dialogue","","","","10.1007/11846406_77","Jakub KanisJiří ZahradilFilip JurčíčekLuděk Müller","2006","http://link.springer.com/chapter/10.1007/11846406_77","Chapter"
"Genetic-Based Decoder for Statistical Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-75487-1_9","Douib AmeurLanglois DavidSmaïli Kamel","2018","http://link.springer.com/chapter/10.1007/978-3-319-75487-1_9","Chapter"
"OpenMaTrEx: A Free/Open-Source Marker-Driven Example-Based Machine Translation System","Advances in Natural Language Processing","","","","10.1007/978-3-642-14770-8_15","Sandipan DandapatMikel L. ForcadaDeclan GrovesSergio PenkaleJohn TinsleyAndy Way","2010","http://link.springer.com/chapter/10.1007/978-3-642-14770-8_15","Chapter"
"Translator knowledge base for machine translation systems","Machine Translation","","6","4","10.1007/BF00417652","Zenshiro KawasakiFumiyuki YamanoNoriyuki Yamasaki","1991","http://link.springer.com/article/10.1007/BF00417652","Article"
"MSD Recombination for Statistical Machine Translation into Highly-Inflected Languages","Text, Speech and Dialogue","","","","10.1007/978-3-540-87391-4_31","Jerneja Žganec-GrosStanislav Gruden","2008","http://link.springer.com/chapter/10.1007/978-3-540-87391-4_31","Chapter"
"Sharon O’Brien, Laura Winther Balling, Michael Carl, Michel Simard and Lucia Specia: Post-editing of machine translation: processes and applications","Machine Translation","","29","1","10.1007/s10590-014-9158-8","Debbie Folaron","2015","http://link.springer.com/article/10.1007/s10590-014-9158-8","Article"
"Text Segmentation Criteria for Statistical Machine Translation","Advances in Natural Language Processing","","","","10.1007/11816508_66","Mauro CettoloMarcello Federico","2006","http://link.springer.com/chapter/10.1007/11816508_66","Chapter"
"Incorporation of Linguistic Features in Machine Translation Evaluation of Arabic","Big Data, Cloud and Applications","","","","10.1007/978-3-319-96292-4_39","Mohamed El MarouaniTarik BoudaaNourddine Enneya","2018","http://link.springer.com/chapter/10.1007/978-3-319-96292-4_39","Chapter"
"Feature Rich Translation Model for Example-Based Machine Translation","Computer Processing of Oriental Languages. Beyond the Orient: The Research Challenges Ahead","","","","10.1007/11940098_36","Yin ChenMuyun YangSheng LiHongfei Jiang","2006","http://link.springer.com/chapter/10.1007/11940098_36","Chapter"
"Classification Approach to Word Selection in Machine Translation","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_12","Hyo -Kyung Lee","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_12","Chapter"
"Handling Unknown Words in Statistical Machine Translation from a New Perspective","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-642-34456-5_17","Jiajun ZhangFeifei ZhaiChengqing Zong","2012","http://link.springer.com/chapter/10.1007/978-3-642-34456-5_17","Chapter"
"A Semantic Concept Based Unknown Words Processing Method in Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-73618-1_20","Shaotong LiJinan XuGuoyi MiaoYujie ZhangYufeng Chen","2018","http://link.springer.com/chapter/10.1007/978-3-319-73618-1_20","Chapter"
"A Prototype English-Japanese Machine Translation System","Natural Language Processing: The PLNLP Approach","","","","10.1007/978-1-4615-3170-8_8","Taijiro Tsutsumi","1993","http://link.springer.com/chapter/10.1007/978-1-4615-3170-8_8","Chapter"
"Dynamic Translation Memory: Using Statistical Machine Translation to Improve Translation Memory Fuzzy Matches","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-78135-6_39","Ergun BiçiciMarc Dymetman","2008","http://link.springer.com/chapter/10.1007/978-3-540-78135-6_39","Chapter"
"The Negative Effect of Machine Translation on Cross–Lingual Question Answering","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-70939-8_44","Sergio FerrándezAntonio Ferrández","2007","http://link.springer.com/chapter/10.1007/978-3-540-70939-8_44","Chapter"
"Introduction: Special issue on building lexicons for machine translation","Machine Translation","","9","3 - 4","10.1007/BF00980576","Bonnie J. DorrJudith Klavans","1994","http://link.springer.com/article/10.1007/BF00980576","Article"
"Hungarian-English Machine Translation Using GenPar","Text, Speech and Dialogue","","","","10.1007/11846406_11","András HóczaAndrás Kocsor","2006","http://link.springer.com/chapter/10.1007/11846406_11","Chapter"
"Free/open-source machine translation: preface","Machine Translation","","25","2","10.1007/s10590-011-9113-x","Felipe Sánchez-MartínezMikel L. Forcada","2011","http://link.springer.com/article/10.1007/s10590-011-9113-x","Article"
"A Semi-supervised Approach to Bengali-English Phrase-Based Statistical Machine Translation","Advances in Artificial Intelligence","","","","10.1007/978-3-642-01818-3_45","Maxim Roy","2009","http://link.springer.com/chapter/10.1007/978-3-642-01818-3_45","Chapter"
"Improved Arabic-French Machine Translation through Preprocessing Schemes and Language Analysis","Advances in Artificial Intelligence","","","","10.1007/978-3-642-38457-8_31","Fatiha SadatEmad Mohamed","2013","http://link.springer.com/chapter/10.1007/978-3-642-38457-8_31","Chapter"
"Rapid Prototyping of Domain-Specific Machine Translation Systems","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_9","Martha PalmerOwen RambowAlexis Nasr","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_9","Chapter"
"Enriching Character-Based Neural Machine Translation with Modern Documents for Achieving an Orthography Consistency in Historical Documents","New Trends in Image Analysis and Processing – ICIAP 2019","","","","10.1007/978-3-030-30754-7_7","Miguel DomingoFrancisco Casacuberta","2019","http://link.springer.com/chapter/10.1007/978-3-030-30754-7_7","Chapter"
"Phrase-Based Statistical Machine Translation for a Low-Density Language Pair","Advances in Artificial Intelligence","","","","10.1007/978-3-642-13059-5_27","Maxim RoyFred Popowich","2010","http://link.springer.com/chapter/10.1007/978-3-642-13059-5_27","Chapter"
"Semantic Analysis of Chinese Prepositional Phrases for Patent Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-642-41491-6_31","Renfen HuYun ZhuYaohong Jin","2013","http://link.springer.com/chapter/10.1007/978-3-642-41491-6_31","Chapter"
"Bi-text Alignment of Movie Subtitles for Spoken English-Arabic Statistical Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-75487-1_11","Fahad Al-ObaidliStephen CoxPreslav Nakov","2018","http://link.springer.com/chapter/10.1007/978-3-319-75487-1_11","Chapter"
"Neural Machine Translation for Morphologically Rich Languages with Improved Sub-word Units and Synthetic Data","Text, Speech, and Dialogue","","","","10.1007/978-3-319-64206-2_27","Mārcis PinnisRihards KrišlauksDaiga DeksneToms Miks","2017","http://link.springer.com/chapter/10.1007/978-3-319-64206-2_27","Chapter"
"Text Generation, Machine Translation, and Other Recurrent Language Modeling Tasks","Applied Natural Language Processing with Python","","","","10.1007/978-1-4842-3733-5_5","Taweh Beysolow II","2018","http://link.springer.com/chapter/10.1007/978-1-4842-3733-5_5","Chapter"
"Manageable Phrase-Based Statistical Machine Translation Models","Computer Recognition Systems 2","","","","10.1007/978-3-540-75175-5_55","Ghada BadrEric JoanisSamuel LarkinRoland Kuhn","2007","http://link.springer.com/chapter/10.1007/978-3-540-75175-5_55","Chapter"
"TencentFmRD Neural Machine Translation System","Machine Translation","","","","10.1007/978-981-13-3083-4_11","Bojie HuAmbyer HanShen Huang","2019","http://link.springer.com/chapter/10.1007/978-981-13-3083-4_11","Chapter"
"A Customized Lexicalized Reordering Model for Machine Translation between Chinese and English","Chinese Lexical Semantics","","","","10.1007/978-3-642-45185-0_38","Fei SuJin HuangKaile Su","2013","http://link.springer.com/chapter/10.1007/978-3-642-45185-0_38","Chapter"
"Look-Ahead Attention for Generation in Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-73618-1_18","Long ZhouJiajun ZhangChengqing Zong","2018","http://link.springer.com/chapter/10.1007/978-3-319-73618-1_18","Chapter"
"A Lexical-Functional approach to Japanese for the purpose of machine translation","Computers and translation","","1","4","10.1007/BF00936420","Yukiko Sasaki Alam","1986","http://link.springer.com/article/10.1007/BF00936420","Article"
"Using Bilingual Segments to Improve Interactive Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-73618-1_22","Na YePing XuChuang WuGuiping Zhang","2018","http://link.springer.com/chapter/10.1007/978-3-319-73618-1_22","Chapter"
"Combining Machine Translation Systems with Quality Estimation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-77116-8_32","László János LakiZijian Győző Yang","2018","http://link.springer.com/chapter/10.1007/978-3-319-77116-8_32","Chapter"
"Translation Model of Myanmar Phrases for Statistical Machine Translation","Advanced Intelligent Computing Theories and Applications. With Aspects of Artificial Intelligence","","","","10.1007/978-3-642-25944-9_31","Thet Thet ZinKhin Mar SoeNi Lar Thein","2012","http://link.springer.com/chapter/10.1007/978-3-642-25944-9_31","Chapter"
"Improving Conversational Spoken Language Machine Translation via Pronoun Recovery","Social Media Processing","","","","10.1007/978-981-10-0080-5_20","Yanlin HuHeyan HuangPing JianYuhang Guo","2015","http://link.springer.com/chapter/10.1007/978-981-10-0080-5_20","Chapter"
"Research of Uyghur-Chinese Machine Translation System Combination Based on Semantic Information","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-030-32236-6_45","YaJuan WangXiao LiYaTing YangAzmat AnwarRui Dong","2019","http://link.springer.com/chapter/10.1007/978-3-030-32236-6_45","Chapter"
