Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Survey on Neural Machine Translation for multilingual translation system,P. Basmatkar; H. Holani; S. Kaushal,"Mukesh Patel School of Technology, Management and Engineering; Mukesh Patel School of Technology, Management and Engineering; Mukesh Patel School of Technology, Management and Engineering",2019 3rd International Conference on Computing Methodologies and Communication (ICCMC),29-Aug-19,2019,,,443,448,"Neural Machine Translation (NMT) has provided promising results in the field of machine translation in recent times. As compared to the previously used rule-based methods or Statistical Machine Translation (SMT), NMT outperforms SMT in quite a few linguist categories. In this paper, we analyze various models, approaches and frameworks used in NMT to find an efficient method to create a translation system and to achieve accurate translation between Indian languages and English.",,978-1-5386-7808-4,10.1109/ICCMC.2019.8819788,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8819788,Recurrent Neural Networks;Long Short-Term Memory;Machine Translation;Neural Machine Translation;Attention;sequence to sequence,Decoding;Predictive models;Recurrent neural networks;Computer architecture;Conferences,language translation;natural language processing;recurrent neural nets,NMT;multilingual translation system;rule-based methods;SMT;statistical machine translation;neural machine translation;Indian languages;English languages,,2,,16,,29-Aug-19,,,IEEE,IEEE Conferences
Machine translation: An American perspective,J. Slocum,"Microelectronics and Computer Technology Corporation, Austin, TX, USA",Proceedings of the IEEE,28-Jun-05,1986,74,7,969,978,"Translation of human languages was one of the first applications considered for digital computers. Indeed, the idea of mechanizing translation predated the invention of such machines, but it was only after World War II, when digital computers became generally available, that Machine Translation (MT) was taken up seriously [4]. This paper explores the field or MT from the viewpoint of an American researcher/developer, and is intended for nonspecialists. We will not dwell on historical details; see [4] for an introduction. Nor will we present a comprehensive survey of MT systems, nor a long bibliography, since [10], [11] provide these. Instead, we will concentrate on aspects of R & D that, in the author's opinion, are of critical importance in developing any large-scale Natural Language Processing (NLP) application, which MT exemplifies. Case studies will be drawn from our experience in developing an MT system that is now being marketed. For context, surrounding sections of this paper will sketch the history of MT, then outline the nature of the translation problem, present various methodological approaches to solving the problem, and, following the discussion of R & D issues, consider future directions for MT research.",1558-2256,,10.1109/PROC.1986.13576,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1457844,,Government;Humans;Military computing;History;Application software;Bibliographies;Large-scale systems;Machine intelligence;Computational linguistics;Microelectronics,,,,,5,14,,28-Jun-05,,,IEEE,IEEE Journals
A Survey of Machine Translation Approaches for Konkani to English,K. M. Chaman Kumar; S. Aswale; P. Shetgaonkar; V. Pawar; D. Kale; S. Kamat,"Computer Engineering SRIEIT,Shiroda,India; Computer Engineering SRIEIT,Shiroda,India; Computer Engineering SRIEIT,Shiroda,India; Computer Engineering SRIEIT,Shiroda,India; Computer Engineering SRIEIT,Shiroda,India; Computer Engineering SRIEIT,Shiroda,India",2020 International Conference on Emerging Trends in Information Technology and Engineering (ic-ETITE),27-Apr-20,2020,,,1,6,"Machine Translation is a popular field in computer science. It's also a key part in the field of Natural Language Processing. Since India is a country where multiple languages are spoken there is a need for Language Translation. In this paper, we present a survey of several research works and the machine translation approaches mentioned in them. We begin with some well-established methodologies and further delve into more recent and hybrid techniques which are still in the state of improvement. We also compare these papers using several parameters such as the tools & technologies, datasets, advantages, disadvantages, and accuracy. We propose a machine translation model based on Statistical Machine Translation that will help us to translate from the Indian regional language Konkani to English and vice versa.",,978-1-7281-4142-8,10.1109/ic-ETITE47903.2020.110,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9077842,Natural Language Processing;Machine Translation;Rule-Based Machine Translation;Statistical Machine Translation;Neural-Based Machine Translation;Hybrid-Based Machine Translation,,language translation;natural language processing,machine translation approaches;English;popular field;computer science;natural language processing;language translation;machine translation model;statistical machine translation;Indian regional language Konkani,,,,25,,27-Apr-20,,,IEEE,IEEE Conferences
Evaluation of Arabic to English Machine Translation Systems,J. Zakraoui; M. Saleh; S. Al-Maadeed; J. M. AlJa’am,"Qatar University,Computer Science and Engineering Department,Doha,Qatar; Qatar University,Computer Science and Engineering Department,Doha,Qatar; Qatar University,Computer Science and Engineering Department,Doha,Qatar; French-Lebanese University,Faculty of Engineering Department,Tripoli,Lebanon",2020 11th International Conference on Information and Communication Systems (ICICS),27-Apr-20,2020,,,185,190,"Arabic machine translation has an important role in most NLP tasks. Many machine translation systems that support Arabic exist already; however the quality of the translation needs to be improved. In this paper, we review different research approaches for Arabic-to-English machine translation. The approaches use various evaluation methods, datasets, and tools to measure their performance. Moreover, this paper sheds light on several methods and assessment efforts, and future ideas to improve the machine translation quality of Arabic-to-English. The review results depict three major findings; first neural machine translation approaches outperform other approaches in many aspects. Second, the recently emerging attention-based approach is being useful to improve the performance of neural machine translation for all languages. Third, the translation performance quality depends on the quality of the dataset, well-behaved aligned corpus, and the evaluation technique used.",2573-3346,978-1-7281-6227-0,10.1109/ICICS49469.2020.239518,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9079094,Machine Translation;Google translation;BLEU;Story Understanding;Arabic Text;Evaluation of Machine Translation,,language translation;natural language processing;neural nets,translation performance quality;evaluation technique;English machine translation systems;Arabic machine translation;NLP tasks;Arabic-to-English machine translation;machine translation quality;neural machine translation approaches;attention-based approach,,1,,45,,27-Apr-20,,,IEEE,IEEE Conferences
A Review of Statistical and Neural Network Based Hybrid Machine Translators,M. Akter; M. Shahidur Rahman; M. Zafar Iqbal; M. Reza Selim,"Department of Computer Science & Engineering, Shahjalal University of Science & Technology, Sylhet, 3114, Bangladesh; Department of Computer Science & Engineering, Shahjalal University of Science & Technology, Sylhet, 3114, Bangladesh; Department of Computer Science & Engineering, Shahjalal University of Science & Technology, Sylhet, 3114, Bangladesh; Department of Computer Science & Engineering, Shahjalal University of Science & Technology, Sylhet, 3114, Bangladesh",2018 International Conference on Bangla Speech and Language Processing (ICBSLP),02-Dec-18,2018,,,1,6,"Machine Translation has become one of the top research interests for a few years. Compared to others, statistical and neural network approaches toward machine translation are performing the best. However, both approaches have advantages over one another. In recent years, few researchers have conducted experiments to create hybrid machine translation systems that combine the strength of statistical and neural network approach to produce a better translation. In this paper, we review all of these research methodologies, datasets, evaluation scores and point out their shortcomings.",,978-1-5386-8207-4,10.1109/ICBSLP.2018.8554792,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8554792,Machine translation;Hybrid Machine Translator;Statistical Machine Translation;Neural Machine Translation,Neural networks;Data models;Decoding;Vocabulary;Training;Interpolation;Probability,language translation;neural nets;statistical analysis,neural network;research methodologies;research interests;hybrid machine translation systems;statistical network,,,,36,,02-Dec-18,,,IEEE,IEEE Conferences
"Statistical Machine Translation for Speech: A Perspective on Structures, Learning, and Decoding",B. Zhou,"IBM T. J. Watson Research Center, New York, NY, USA",Proceedings of the IEEE,17-Apr-13,2013,101,5,1180,1202,"In this paper, we survey and analyze state-of-the-art statistical machine translation (SMT) techniques for speech translation (ST). We review key learning problems, and investigate essential model structures in SMT, taking a unified perspective to reveal both connections and contrasts between automatic speech recognition (ASR) and SMT. We show that phrase-based SMT can be viewed as a sequence of finite-state transducer (FST) operations, similar in spirit to ASR. We further inspect the synchronous context-free grammar (SCFG)-based formalism that includes hierarchical phrase-based and many linguistically syntax-based models. Decoding for ASR, FST-based, and SCFG-based translation is also presented from a unified perspective as different realizations of the generic Viterbi algorithm on graphs or hypergraphs. These consolidated perspectives are helpful to catalyze tighter integrations for improved ST, and we discuss joint decoding and modeling toward coupling ASR and SMT.",1558-2256,,10.1109/JPROC.2013.2249491,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6497459,Discriminative training;finite-state transducer (FST);graph;hypergraph;speech translation (ST);statistical machine translation (SMT);synchronous context-free grammar (SCFG);Viterbi search,Speech processing;Information processing;Training;Statistical learning;Viterbi algorithm;Automata;Transducers;Context awareness,graph theory;language translation;learning (artificial intelligence);speech coding;speech recognition;statistical analysis;transducers;Viterbi decoding,statistical machine translation;structures;learning;decoding;SMT techniques;speech translation;automatic speech recognition;ASR;finite state transducer;FST;Viterbi algorithm;hypergraphs,,4,,100,,12-Apr-13,,,IEEE,IEEE Journals
Machine translation survey for Punjabi and Urdu languages,A. Kumar; N. Bansal,"Punjabi University, Patiala, Punjab, India; Punjabi University, Patiala, Punjab, India","2017 3rd International Conference on Advances in Computing,Communication & Automation (ICACCA) (Fall)",23-Apr-18,2017,,,1,11,"Computer technology plays a major role in human's life, so the automatic translation perspectives are important for making communication possible among each other. Translation from one regional language to another national or international language is important to understand the information and technology expressed in that language. This led to the inception of machine translation from regional language to national or international language. Machine translation is a field of Natural Language Processing (NLP) and Artificial Intelligence (AI), where it deals with translation from one language to another language. The statistical machine translation approach is popular in automatic translation research area with good accuracy. This paper gives a review of the work done in Punjabi and Urdu languages. To the best of our knowledge, no work is available on Punjabi to Urdu MTS methodology, but Urdu to Punjabi MTS is already developed [Umrinder Pal Singh et. al, 2016]. Punjabi is a regional language as well as official language of Indian state, Punjab. All state government related work within Punjab is done in Punjabi language only, written in two scripts i.e. Gurmukhi and Shahmukhi. Urdu is an international language, where most of the Muslim states/countries use Urdu language only. This paper also surveys the various Indian Machine Translation systems and existing methods for evaluating the translated output of various MTS.",,978-1-5090-6403-8,10.1109/ICACCAF.2017.8344667,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8344667,Shamukhi;Gurmukhi;MTS;Rule-based,Dictionaries;Databases;Electronic mail;Government;Random access memory;Natural language processing,artificial intelligence;language translation;natural language processing,automatic translation;machine translation survey;computer technology;natural language processing;artificial intelligence;Indian machine translation systems;translated output;Punjabi language;official language;statistical machine translation approach;international language;national language;regional language;Urdu language,,1,,40,,23-Apr-18,,,IEEE,IEEE Conferences
Natural Language Processing and Its Applications in Machine Translation: A Diachronic Review,K. Jiang; X. Lu,"College of Foreign Languages, Huazhong Agricultural University,Wuhan,China; Hubei Institute of Fine Arts,Department of Common Required Courses,Wuhan,China",2020 IEEE 3rd International Conference of Safe Production and Informatization (IICSPI),01-Feb-21,2020,,,210,214,"As an essential part of artificial intelligence technology, natural language processing is rooted in multiple disciplines such as linguistics, computer science, and mathematics. The rapid advancements in natural language processing provides strong support for machine translation research. This paper first introduces the key concepts and main content of natural language processing, and briefly reviews the history and progress of NLP research at home and abroad. Then, the paper summarizes the three stages of machine translation and its research status. In history, the progress curve of natural language processing almost accords with that of machine translation, and the two complement each other. Based on this, the paper analyzes the applications of natural language processing in machine translation, and points out the challenges and trends in the field of natural language processing. Finally, the author discusses the relationship between machine translation and human translation in the age of artificial intelligence, and visualizes the future prospect of machine translation.",,978-1-7281-7738-0,10.1109/IICSPI51290.2020.9332458,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332458,natural language processing;machine translation;artificial intelligence;translation technology;machine learning,Computer science;Linguistics;Market research;Mathematics;Machine translation;History;Artificial intelligence,artificial intelligence;language translation;natural language processing,natural language processing;machine translation;diachronic review;artificial intelligence technology,,,,14,,01-Feb-21,,,IEEE,IEEE Conferences
Study on machine translation approaches for Indian languages and their challenges,D. V. Sindhu; B. M. Sagar,"Department of information science, R.V College of engineering; Department of information science, R.V College of engineering","2016 International Conference on Electrical, Electronics, Communication, Computer and Optimization Techniques (ICEECCOT)",26-Jun-17,2016,,,262,267,"This survey mainly focuses on the developments of machine translation for the Indian languages. The survey throws a light on rule-based approach, empirical based approach and hybrid based approaches for machine translation. Every approach has its own advantages and disadvantages. Machine Translation (MT) is a process which translates from one language to another language. Due to rapid globalisation there is an increased data over the web machine translation plays a very important role to reduce the language barrier between different regions. In a country like India with 22 official languages shows a high attention for the translation. This paper focuses on the different MT systems for Indian languages and also their challenges.",,978-1-5090-4697-3,10.1109/ICEECCOT.2016.7955227,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7955227,Source language;Target language;Machine Translation;computational linguistics,Dictionaries;Databases;Computational linguistics;Syntactics;Tools;Information science;Pragmatics,Internet;knowledge based systems;language translation,MT;Indian languages;rule-based approach;empirical based approach;hybrid based approach;language translation;rapid globalisation;Web machine translation;language barrier reduction,,3,,15,,26-Jun-17,,,IEEE,IEEE Conferences
Machine translation : an Indian perspective,R. M. K. Sinha,"Indian Inst. of Technol., Kanpur, India","Language Engineering Conference, 2002. Proceedings",28-Feb-03,2002,,,181,182,"I present a review of machine translation strategies and examine the infrastructure that needs to be created to facilitate R&D efforts in an Indian context. In particular, I present work on ANGABHARTI and ANUBHARTI approaches and their hybridization.",,0-7695-1885-0,10.1109/LEC.2002.1182306,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1182306,,Natural languages;Humans;Speech;Planets;Business;Vehicles;Knowledge engineering;Artificial intelligence;Computer science;Informatics,language translation,machine translation;Indian context;R&D;ANGABHARTI approach;ANUBHARTI approach,,,,23,,28-Feb-03,,,IEEE,IEEE Conferences
Improving the Quality of Scientific Articles Machine Translation While Writing Original Text,A. A. Zhivotova; V. D. Berdonosov; E. V. Redkolis,"Komsomolsk-na-Amure State University,Faculty of Computer Technology,Komsomolsk-na-Amure,Russia; Komsomolsk-na-Amure State University,Faculty of Computer Technology,Komsomolsk-na-Amure,Russia; Komsomolsk-na-Amure State University,Faculty of Computer Technology,Komsomolsk-na-Amure,Russia",2020 International Multi-Conference on Industrial Engineering and Modern Technologies (FarEastCon),08-Dec-20,2020,,,1,4,"Currently, the publication of scientific articles in peer-reviewed journals in most cases assumes translation into English. In this context, it is possible to reduce translation costs by using machine translation systems with post-editing. Modern machine translation systems have come a long way from bilingual dictionaries to multi-lingual localization platforms and continue to develop rapidly. By the use of neural networks deep learning, translation quality has almost reached the level of manual translation. However, machine translation has disadvantages and limitations, understanding of which allows using such systems to reduce time and costs for scientific texts translation. The paper formulates and systematizes main features of machine translation application, as well as gives recommendations for preparing a source text for translation, which are relevant not only when using machine translation systems, but also for human translation, especially for texts of specific subjects. By the example of a scientific and technical text and performing an experiment it is demonstrated how the quality of machine translation changes when described recommendations are applied. BLUE score metric is used to evaluate translation quality.",,978-1-7281-6951-4,10.1109/FarEastCon50210.2020.9271442,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271442,machine translation;interactive translation;pre-editing;post-editing;translation quality;BLUE-score,Measurement;Linguistics;Internet;Industrial engineering;Vocabulary;Databases;Unmanned aerial vehicles,language translation;learning (artificial intelligence);neural nets;text analysis,translation costs;modern machine translation systems;multilingual localization platforms;manual translation;human translation;scientific text;technical text;scientific article machine translation quality;bilingual dictionaries;BLUE score metric;translation quality evaluation;neural networks;deep learning,,,,26,,08-Dec-20,,,IEEE,IEEE Conferences
