Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Quillian M.R.","24600800000;","Simulation of human understanding of language",1961,"Communications of the ACM","4","9",,"406","",,3,"10.1145/366696.366784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882512044&doi=10.1145%2f366696.366784&partnerID=40&md5=e1919a2b423e315d25397b55b66018d4","Independent Work, Chicago, IL, United States","Quillian, M.R., Independent Work, Chicago, IL, United States",[No abstract available],"artificial intelligence; computer simulation; human understanding and concept formation; information storage and retrieval; machine translation; meaning machinese; semantic analysis of language",,Article,"Final","",Scopus,2-s2.0-84882512044
"Ledley R.S., Wilson J.B.","56923191500;55725878000;","Automatic-programming-language translation through syntactical analysis",1962,"Communications of the ACM","5","3",,"145","155",,4,"10.1145/366862.366872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-20844443976&doi=10.1145%2f366862.366872&partnerID=40&md5=d17d914190bb05ab0bc90323d42f4147","National Biomedical Research Foundation, Silver Spring, MD, United States","Ledley, R.S., National Biomedical Research Foundation, Silver Spring, MD, United States; Wilson, J.B., National Biomedical Research Foundation, Silver Spring, MD, United States",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-20844443976
"Summers L.","16059295800;","Machine Translation of Russian Organic Chemical Names Into English By Analysis and Resynthesis of the Component Fragments",1962,"Journal of Chemical Documentation","2","2",,"83","86",,3,"10.1021/c160005a012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947470960&doi=10.1021%2fc160005a012&partnerID=40&md5=ca8e56664f421dfd5734287f855b6c10","Machine Translation Research, Institute of Languages and Linguistics, Georgetown University, Washington, D. C., United States","Summers, L., Machine Translation Research, Institute of Languages and Linguistics, Georgetown University, Washington, D. C., United States",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-33947470960
"Bohnert H.G.","56931573500;","Logic of English grammar",1962,"Communications of the ACM","5","7",,"398","",,,"10.1145/368273.368564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945709200&doi=10.1145%2f368273.368564&partnerID=40&md5=aa9f81dd879e23e5486c46a46e6bfa76","Thomas J. Watson Research Center, Yorktown Heights, NY, United States","Bohnert, H.G., Thomas J. Watson Research Center, Yorktown Heights, NY, United States","The logic of English grammar is being investigated by a process of approximative logical synthesis. Beginning with a kernel language which is an alphabetically spelled form of symbolic logic with English-like vocabulary, English-like extensions are constructed simulating selected features of English grammar. For each extended language, an algorithm is given which would permit a computer to make a left-to-right, word-by-word scan of an input sequence, to transform it by stages (as long as the sequence is found to be a well-formed formula of the extended language) into a sentence in the logical grammar of the kernel (or into a logical symbolization if desired). The algorithm thus constitutes simultaneously (1) a recognition grammar of the extended language, i.e., not just formation rules or productions, but a decision method for sentencehood, and (2) a portion of its transformation rules (defining a consequence relation). To date, languages have been constructed simulating the English determiners, (e.g., “every”, “any”, “no”, “a”) and the system of groupers (“either”, “both”, “if”) with precedence-ordered connectives (e.g., “and”, “and furthermore”, “or”, “or else”) by which English achieves the effect of parentheses. Work soon to be reported extends the analysis to relative, general and indefinite pronouns. It is expected that the algorithms will be embodied in computer programs within the year for purposes of comparison with results of human parsers. © 1962, ACM. All rights reserved.","informational retrieval machine translation; linguistic analysis; logical data processing; symbolic logic",,Article,"Final","",Scopus,2-s2.0-84945709200
"Gaines R.S.","56891819000;","On the translation of machine language programs",1965,"Communications of the ACM","8","12",,"736","741",,4,"10.1145/365691.365925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939770576&doi=10.1145%2f365691.365925&partnerID=40&md5=31d4a48ba63c72d88c295fe72e938094","Institute for Defense Analyses, Princeton, NJ, United States","Gaines, R.S., Institute for Defense Analyses, Princeton, NJ, United States",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-84939770576
"Sassaman W.A.","57205687378;","A computer program to translate machine language into FORTRAN",1966,"AFIPS Conference Proceedings - 1966 Spring Joint Computer Conference, AFIPS 1966",,,,"235","239",,4,"10.1145/1464182.1464211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548201635&doi=10.1145%2f1464182.1464211&partnerID=40&md5=e8178717e2dba9c81106c69ac80bd554","TRW Systems, Inc., Redondo Beach, CA, United States","Sassaman, W.A., TRW Systems, Inc., Redondo Beach, CA, United States","The translator described here is not a perfect tool—it does not translate everything nor is everything it translates perfect. It does not handle dynamic programming, i.e., where coding is actually charged, nor does it handle indirect addressing. Patently it does not translate into FORTRAN those things FORTRAN cannot do. Complex and double precision arithmetic are not attempted. It is designed to relieve the programmer of much of the clerical task of translation and to allow the user input into the translational process and absolute control of the final output. For those applications we have used it for, it has performed rapidly and effectively. © 1966 Association for Computing Machinery, Inc. All rights reserved.",,"Digital arithmetic; FORTRAN (programming language); Double precision; Indirect addressing; Machine languages; User input; Dynamic programming",Conference Paper,"Final","",Scopus,2-s2.0-34548201635
"Ball W.E., Berns R.I.","36815091100;56931595100;","AUTOMAST: Automatic mathematical analysis and symbolic translation",1966,"Communications of the ACM","9","8",,"626","633",,1,"10.1145/365758.365797","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945708664&doi=10.1145%2f365758.365797&partnerID=40&md5=bf8a021da6496e98add1e64f6091b182","Washington Univ., Saint Louis, MI, United States","Ball, W.E., Washington Univ., Saint Louis, MI, United States; Berns, R.I., Washington Univ., Saint Louis, MI, United States","A procedure for numerically solving systems of ordinary differential equations is shown to also generate symbolic solutions. The procedure is based on a finite Taylor series expansion that includes an estimate of the error in the final result. A computer program is described that reads in a system of such equations and then generates the expansions for all of the dependent variables. The expansions are determined symbolically, hence any non-numeric parameters in the original equations are carried automatically into the final expansions. Thus the exact influence of any parameters on the problem solution can be easily displayed. © 1966, ACM. All rights reserved.",,,Article,"Final","",Scopus,2-s2.0-84945708664
"Titus J.P.","56931554600;","The Nebulous future of machine translation",1967,"Communications of the ACM","10","3",,"189","191",,4,"10.1145/363162.363216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956765263&doi=10.1145%2f363162.363216&partnerID=40&md5=847bde75450559bf556ca525648dba55",,"Titus, J.P.","A report by the National Academy of Sciences that examines machine translation against the light of human translation has disturbed a good many research administrators in the government.So much bad publicity has been engendered by this report that the future of machine translation is uncertain, even though the technology is a scant twelve years old. © 1967, ACM. All rights reserved.",,,Article,"Final","",Scopus,2-s2.0-77956765263
"Seitz R.N., Wood L.H., Ely C.A.","56751382000;56751355700;57189036088;","AMTRAN: Automatic mathematical translation",1967,"Interactive Systems for Experimental Applied Mathematics - Proceedings of the Association for Computing Machinery Inc. Symposium, ACM 1967",,,,"44","66",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964822700&partnerID=40&md5=10c2bae67006b1ad484a7dfde32bc14b","Computation Laboratory, Marshall Space Flight Center, NASA, Huntsville, AL, United States; Research Division, Brown Engineering Company, Marshall Space Flight Center, NASA, Huntsville, AL, United States","Seitz, R.N., Computation Laboratory, Marshall Space Flight Center, NASA, Huntsville, AL, United States; Wood, L.H., Computation Laboratory, Marshall Space Flight Center, NASA, Huntsville, AL, United States; Ely, C.A., Research Division, Brown Engineering Company, Marshall Space Flight Center, NASA, Huntsville, AL, United States",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-84964822700
"Rubinoff M., Bergman S., Rapp F., Cautin H.","56726374800;56931563200;56931605000;56931628500;","Information Retrieval: Easy English, a language for information retrieval through a remote typewriter console",1968,"Communications of the ACM","11","10",,"693","696",,1,"10.1145/364096.364116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945708400&doi=10.1145%2f364096.364116&partnerID=40&md5=63d1a32ea0609cdfd0df669d3ba3942f","Univ. of Pennsylvania, Philadelphia, United States","Rubinoff, M., Univ. of Pennsylvania, Philadelphia, United States; Bergman, S., Univ. of Pennsylvania, Philadelphia, United States; Rapp, F., Univ. of Pennsylvania, Philadelphia, United States; Cautin, H., Univ. of Pennsylvania, Philadelphia, United States","Easy English is a natural command language designed to simplify communication between man and machine through remote typewriter console. It has been developed for retrieval of documents from a computerized data base, the Moore School Information Systems Laboratory files. Requests are formulated in a standardized syntactical form (examples of which are presented), and this form is then transformed into an equivalent query expressed in the retrieval system's original Symbolic Command Language, which is briefly described.Operation of Easy English is detailed by illustration of the transformations performed upon a sample request up to the point at which the request string is sent to the system. A macro flowchart of Easy English is included, and an Appendix provides the printout of a retrieval demonstration.© 1968, ACM. All rights reserved.","conversational mode; document retrieval; information retrieval; information retrieval language; man-machine communication; natural language communication; on-line searching; remote console communication; remote terminal communication; symbolic command language; translator",,Article,"Final","",Scopus,2-s2.0-84945708400
"Ingham K.R.","7005684958;","Braille, the Language, its Machine Translation and Display",1969,"IEEE Transactions on Man-Machine Systems","10","4",,"96","100",,7,"10.1109/TMMS.1969.299905","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014639195&doi=10.1109%2fTMMS.1969.299905&partnerID=40&md5=cbdc0c72135f708a220a97d53c2509ec","Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, Mass., United States","Ingham, K.R., Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, Mass., United States","The manufacture of Braille textbooks has, in the past, been accomplished in two ways. The first is the large-scale production, utilizing zinc plate embossing presses. The second is hand production, done by a large number of dedicated volunteers. This paper outlines the trend in the last few years toward automatic Braille production and describes the development of a low-cost Braille translation and embossing system at the Research Laboratory of Electronics, Massachusetts Institute of Technology. Criteria are given for the generation of input to an automatic system along with techniques for increasing the cost effectiveness of Braille manufacture. Copyright © 1969 by The Institute of Electrical and Electronics Engineers, Inc.",,"LANGUAGE; Sensory aids; VISIBILITY AND VISION",Article,"Final","",Scopus,2-s2.0-0014639195
"Vere S.","57190035769;","Translation Equations",1970,"Communications of the ACM","13","2",,"83","89",,4,"10.1145/362007.362031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014737718&doi=10.1145%2f362007.362031&partnerID=40&md5=66e456d9b2eaf0d3e0c1d815b20f63c4","University of California, Department of Engineering, Los Angeles, California, United States","Vere, S., University of California, Department of Engineering, Los Angeles, California, United States","Input limited transduction expressions, or translation equations, are used to describe the syntax and left-context sensitive semantics for context-free languages. A formal procedure is given for deriving from a set of translation equations the specifications for a pushdown translator. The translator consists of Mealy form finite-state automata interacting by means of a pushdown stack. Within the framework described, string recognition and parsing may be treated as special cases of the translation problem. © 1970, ACM. All rights reserved.","automata; context-free languages; finite state automata; meta-compilers; parsing; pushdown transducer; recognizers; regular expression; syntax directed compilers; transduction expression; translation; Turing machines","AUTOMATA THEORY; CONTEXT-FREE LANGUAGES; ICR; TURING MACHINES",Article,"Final","",Scopus,2-s2.0-0014737718
"von Glasersfeld E., Pisani P.P.","6602481669;24571035900;","The Multistore Parser for Hierarchical Syntactic Structures",1970,"Communications of the ACM","13","2",,"74","82",,17,"10.1145/362007.362026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014732441&doi=10.1145%2f362007.362026&partnerID=40&md5=1ca2f11053f199126d251dc99fe65c16","University of Georgia, Georgia Insitute for Research, Athens, United States","von Glasersfeld, E., University of Georgia, Georgia Insitute for Research, Athens, United States; Pisani, P.P., University of Georgia, Georgia Insitute for Research, Athens, United States","A syntactic parser is described for hierarchical concatenation patterns that are presented to the analyzer in the form of linear strings. Particular emphasis is given to the system of “significant addresses” by means of which processing times for large-scale matching procedures can be substantially reduced. The description makes frequent use of examples taken from the fully operational implementation of the parser in an experimental English sentence analyzer. By structuring an area of the computer's central core storage in such a way that the individual locations of bytes and bits come to represent the data involved in the matching procedure, the shifting of information is reduced to a minimum, and the searching of lists is eliminated altogether. The matches are traced by means of binary masks and the state of single bits determines the operational flow of the procedure. The method could be implemented with any interpretive grammar, provided it can be expressed by the functional classification of the items composing the input hierarchical structures. © 1970, ACM. All rights reserved.","automatic abstracting; computational linguistics; correlational grammar; linguistic data processing; machine translation; matching procedures; natural-language analysis; parsing; pattern recognition; structure recognition; syntatic analysis; tree-structure interpretation","Computational linguistics; Computers; COMPUTERS, PATTERN RECOGNITION; LINGUISTIC DATA PROCESSING; PARSING; PROGRAMMING; STRUCTURE RECOGNITION",Article,"Final","",Scopus,2-s2.0-0014732441
"Josselson H.H.","57193303476;","Automatic Translation of Languages Since 1960: A Linguist's View",1971,"Advances in Computers","11","C",,"1","58",,12,"10.1016/S0065-2458(08)60629-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956790426&doi=10.1016%2fS0065-2458%2808%2960629-4&partnerID=40&md5=9df5080241bcd35ef4689e9e26f6453a","Wayne State University Detroit, Michigan, United States","Josselson, H.H., Wayne State University Detroit, Michigan, United States","This chapter presents a survey of the field of automatic translation of languages that discusses some difficulties of machine translation (MT), the nature of language and problems of language description, MT as symbiosis between man and machine, and practical MT problems and some tentative solutions. The history of MT, in terms of both the shift of emphasis of the philosophy of approach and the activities of the individual research groups, is briefly reviewed. A series of MT conferences organized by Wayne State University (United States) and various international conferences are discussed. The chapter also discusses the linguistic problems in MT research, components of an MT system, Wayne State University MT procedures and automatic syntactic analysis, other MT syntactic analysis techniques, surveys of MT groups since 1960, and automatic language processing committee (ALPAC) report and reactions toward it. One of the major aims of developing a functioning MT system should be to avoid mistranslations and MT research contributes to the expansion of the knowledge of how language operates. So, MT is the most important area where symbiosis between computer and man can be most successfully advanced. © 1971, Academic Press, Inc.",,,Article,"Final","",Scopus,2-s2.0-77956790426
"Kleir R.L., Ramamoorthy C.v.","6507524164;7101833987;","Optimization Strategies for Microprograms",1971,"IEEE Transactions on Computers","C-20","7",,"783","794",,47,"10.1109/T-C.1971.223347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0015094949&doi=10.1109%2fT-C.1971.223347&partnerID=40&md5=9e4f5f5e5cca16773fb0e2b656626929","Department of Electrical Engineering, University of Texas, Austin, Tex. 78712, United States","Kleir, R.L., Department of Electrical Engineering, University of Texas, Austin, Tex. 78712, United States; Ramamoorthy, C.v., Department of Electrical Engineering, University of Texas, Austin, Tex. 78712, United States","With increased use of microprogramming in present computer systems, the need arises to automate the checking and optimization of microcode. This paper reviews the optimization objectives, characterizes microprogranis, and discusses the machine structure. A translator from machine code to microcode appears feasible and is described. Some compiler techniques are reviewed and adapted to improve microprograms by studying operational interaction. Microprogram characteristics permit additional methods to reduce the computation effort. The techniques are integrated into a scheme implemented for optimizing a simulated machine. © 1971, IEEE. All rights reserved.","code translator; Inefficient code sources; intermediate text; machine; microprogram characteristics; microprogramming; optimization; program graph","COMPUTERS, DIGITAL, Operating Systems; COMPILERS; MICROPROGRAMMING; COMPUTERS, DIGITAL--Programming",Article,"Final","",Scopus,2-s2.0-0015094949
"Smith R.N.","56871791600;","Automatic steno translation",1973,"Proceedings of the Annual ACM Conference, ACM 1973",,,,"92","96",,1,"10.1145/800192.805687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025697740&doi=10.1145%2f800192.805687&partnerID=40&md5=4f2c08fd83002d893fa13251a92040b3","Northwestern University, United States; Stenographic Machines, Inc., United States","Smith, R.N., Northwestern University, United States, Stenographic Machines, Inc., United States","The need for the automatic translation of machine recorded Steno-graphic notes is quite pressing. The preliminary assumption made relevant to a solution of the problem is that changes in the user's habits should not be required, or, at most, should be kept at a bare minimum in order not to influence adversely stroking speed. The problem of automatic Steno translation can be most fruitfully approached if it is framed within the scope of computational linguistics, that is, as a classic problem in natural language analysis. In particular the heart of the system has to consist of a grammar and a lexicon and more specifically a set of patterns for sentence parts in terms of category symbols and as associated lexicon with lexical items tagged with the same set of category symbols. © 1973 Association for Computing Machinery, Inc. All rights reserved.",,"Automatic translation; Lexical items; Natural language analysis; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-85025697740
"Housel B.C.","6701399364;","On inverse translation of machine language",1974,"Proceedings of the 1974 Annual ACM Conference, ACM 1974",,,,"752","",,,"10.1145/1408800.1408929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059213135&doi=10.1145%2f1408800.1408929&partnerID=40&md5=67b4e99d20cab68c05b4c0b398099f64","IBM Research Laboratory, Monterey and Cottle Roads, San Jose, CA  95193, United States","Housel, B.C., IBM Research Laboratory, Monterey and Cottle Roads, San Jose, CA  95193, United States","The goals of my research were to investigate some of the problems involved in translating machine language programs into high level procedural languages and to develop a systematic methodology for this process. It was assumed that the source program was produced either manually or by a compiler. A translator was implemented to accept programs coded in Knuth's MIXAL (assembly language for the MIX machine) and produce an ""equivalent"" PL/1 version. 1974 ACM. All rights reserved.",,"Inverse problems; PL/1 (programming language); Program compilers; Program translators; Assembly language; Machine languages; Procedural languages; Systematic methodology; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-85059213135
"Housel B.C., Halstead M.H.","6701399364;7004018406;","A methodology for machine language decompilation",1974,"Proceedings of the 1974 Annual ACM Conference/Annual Meeting, ACM 1974",,,,"254","260",,8,"10.1145/800182.810410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976756751&doi=10.1145%2f800182.810410&partnerID=40&md5=3d0b9eb2d8fb2d10f0107f709511ca31","IBM Research Laboratory, San Jose, CA, United States; Purdue University, Lafayette, IN, United States","Housel, B.C., IBM Research Laboratory, San Jose, CA, United States; Halstead, M.H., Purdue University, Lafayette, IN, United States","Machine language decompilation is the translation of machine (assembly) language instruction sequences into statements in a high-level-algebraic language such as PL/1. This process can be viewed as the inverse of compilation. Decompilation can be used as an aid for program conversion and program documentation. A general methodology for decompilation that is independent of a particular source and target language is presented. The basic approach is to map the source machine language to a high-level representation, which is relatively machine and language independent, and then translate to the chosen target language. An experimental decompiler was implemented to translate Knuth's MIXAL assembly language into PL/1. © 1974 ACM. All rights reserved.","Decompiling; Inverse translation; Machine language translation; Optimization; Program documentation","High level languages; Inverse problems; Optimization; Program documentation; Program translators; Algebraic languages; Assembly language; Decompiling; General methodologies; Language independents; Machine languages; Program conversion; Target language; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84976756751
"Su S.Y.W., Lam H.","7402029931;55678764900;","A semi-automatic data base translation system for achieving data sharing in a network environment",1974,"Proceedings of the ACM SIGMOD International Conference on Management of Data",,,,"227","247",,9,"10.1145/800296.811514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035123355&doi=10.1145%2f800296.811514&partnerID=40&md5=17a946d9446b8c563d68e54e9d87f1c5","Electrical Engineering Department, Communication Science Laboratory, University of Florida, United States","Su, S.Y.W., Electrical Engineering Department, Communication Science Laboratory, University of Florida, United States; Lam, H., Electrical Engineering Department, Communication Science Laboratory, University of Florida, United States","This paper deals with the problems of data base translation for achieving data sharing through a computer network. A semiautomatic data base translation procedure and its prototype implementation are described. The procedure takes advantage of data conversion capabilities already existing in programming languages and I/O control systems and of man-machine interaction to achieve data base translation tasks. The user of one system is allowed to browse, retrieve, edit, format and restructure the data acquired on-line from another system to produce a new data base suitable for his own application programs. The procedure attempts to bypass the complex task of formally describing and translating several levels of data representation commonly undertaken in the existing data base translation systems. © 1974 ACM.","Computer network application; Data base translation; Man-machine interaction; On-line system","Access control; Application programs; Computer networks; Data description; Human computer interaction; Online systems; Data conversion; Data representations; Network applications; Network environments; Prototype implementations; Semi-automatics; Translation procedures; Translation systems; Program translators",Conference Paper,"Final","",Scopus,2-s2.0-85035123355
