Authors,Title,Year,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Al-Haj, H., Lavie, A.",The impact of Arabic morphological segmentation on broad-coverage English-to-Arabic statistical machine translation,2010,,,1,6,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857600309&partnerID=40&md5=66699dad13e7f4647d6720ddcecdc734,Conference Paper,Scopus,2-s2.0-84857600309
"Almasoud, A.M., Al-Khalifa, H.S.",A proposed semantic machine translation system for translating arabic text to Arabic Sign Language,2011,,,1,7,10.1145/2107556.2107579,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857942196&partnerID=40&md5=b650de8c9674958fb86d39aaa1404523,Conference Paper,Scopus,2-s2.0-84857942196
"Alqudsi, A., Omar, N., Shaker, K.",A Hybrid Rules and Statistical Method for Arabic to English Machine Translation,2019,,,1,1,10.1109/CAIS.2019.8769545,https://www.scopus.com/inward/record.url?eid=2-s2.0-85073904762&partnerID=40&md5=04865b355202240f4a17bd13cde7c153,Conference Paper,Scopus,2-s2.0-85073904762
"Al-Thanyyan, S.S., Azmi, A.M.",Automated Text Simplification,2021,,,1,1,10.1145/3442695,https://www.scopus.com/inward/record.url?eid=2-s2.0-85104785188&partnerID=40&md5=71b874eaf361f9d5bea9e459f37e737a,Review,Scopus,2-s2.0-85104785188
"Ambati, R., Reddy Dudyala, C.",A Sequence-to-Sequence Model Approach for ImageCLEF 2018 Medical Domain Visual Question Answering,2018,,,1,,10.1109/INDICON45594.2018.8987108,https://www.scopus.com/inward/record.url?eid=2-s2.0-85082568963&partnerID=40&md5=42314b6097b580b86a75506af2ffdc97,Conference Paper,Scopus,2-s2.0-85082568963
"Ameur, M.S.H., Meziane, F., Guessoum, A.",Arabic Machine Translation: A survey of the latest trends and challenges,2020,,,1,3,10.1016/j.cosrev.2020.100305,https://www.scopus.com/inward/record.url?eid=2-s2.0-85097497664&partnerID=40&md5=92345deb6d3e4f304a37db0f30c7773c,Review,Scopus,2-s2.0-85097497664
"Andrä, S.C., Schütz, J.",Employing Machine Translation in glocalization tasks - A use case study,2010,,,1,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857522803&partnerID=40&md5=a6b8190d3a22317e1d2ad227394066e0,Conference Paper,Scopus,2-s2.0-84857522803
"Andrews, J.E., Summers, K.",Machine translation for triage and exploitation of massive text data,2008,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84858040404&partnerID=40&md5=c5202156ad17d6f97ba1be14ed00fb11,Conference Paper,Scopus,2-s2.0-84858040404
"Aranberri, N., Roturier, J.",Comparison of alternatives to strict source control: A case study with -ing words,2009,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84888102799&partnerID=40&md5=759f6ab4cb7adc30bb2cef198df78f1b,Conference Paper,Scopus,2-s2.0-84888102799
"Arar, R.",Nostalgia: A human-machine transliteration,2018,,,1,,10.1109/VISAP45312.2018.9046055,https://www.scopus.com/inward/record.url?eid=2-s2.0-85084560146&partnerID=40&md5=81fe2b6aa87724e38b749b9f5bda6441,Conference Paper,Scopus,2-s2.0-85084560146
"Arefin, M.S., Hoque, M.M., Rahman, M.O., Arefin, M.S.","A machine translation framework for translating Bangla assertive, interrogative and imperative sentences into English",2015,,,1,5,10.1109/ICEEICT.2015.7307534,https://www.scopus.com/inward/record.url?eid=2-s2.0-84962162155&partnerID=40&md5=49f8ed4d4076a1bbdfe4c5ffd96c6222,Conference Paper,Scopus,2-s2.0-84962162155
"Artetxe, M., Labaka, G., Agirre, E., Cho, K.",Unsupervised neural machine translation,2018,,,1,113,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85083952512&partnerID=40&md5=4e4369985290ca59bdb0af05e11fc9ba,Conference Paper,Scopus,2-s2.0-85083952512
"Artetxe, M., Labaka, G., Casas, N., Agirre, E.",Do all roads lead to Rome? Understanding the role of initialization in iterative back-translation,2020,,,1,,10.1016/j.knosys.2020.106401,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089581729&partnerID=40&md5=74222a5b7f72f4d85eb040198f0c1cfb,Article,Scopus,2-s2.0-85089581729
"Arukgoda, A., Weerasinghe, A.R., Pushpananda, R.",Improving Sinhala-Tamil translation through deep learning techniques,2019,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85077510402&partnerID=40&md5=762f0a49507a414de194aee70185c017,Conference Paper,Scopus,2-s2.0-85077510402
"Assem, S., Aida, S.",Machine translation of different systemic languages using a Apertium platform (with an example of English and Kazakh languages),2013,,,1,1,10.1109/ICCAT.2013.6522002,https://www.scopus.com/inward/record.url?eid=2-s2.0-84879850142&partnerID=40&md5=c76eff59d54b28b17c2ee673bed6df69,Conference Paper,Scopus,2-s2.0-84879850142
"Attardi, G., Buzzelli, A., Sartiano, D.",Machine translation for entity recognition across languages in biomedical documents,2013,,,1,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84922031658&partnerID=40&md5=75c3b4c503b681406e2bf9411f06153f,Conference Paper,Scopus,2-s2.0-84922031658
"Bacha, K., Zrigui, M.",Towards a model of statistical machine translation Arabic-French,2014,,,1,2,10.1109/WCCAIS.2014.6916640,https://www.scopus.com/inward/record.url?eid=2-s2.0-84908675990&partnerID=40&md5=ff596546dca0ebbbb6238ca593c137cf,Conference Paper,Scopus,2-s2.0-84908675990
"Baker, K., Bloodgood, M., Callison-Burch, C., Dorr, B.J., Filardo, N.W., Levin, L., Miller, S., Piatko, C.",Semantically-informed syntactic machine translation: A tree-grafting approach,2010,,,1,6,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84863395402&partnerID=40&md5=71ba7c8273743f931c3d90a4e387f1d0,Conference Paper,Scopus,2-s2.0-84863395402
"Bakhshaei, S., Safabakhsh, R., Khadivi, S.","Matching graph, a method for extracting parallel information from comparable corpora",2019,,,1,,10.1145/3329713,https://www.scopus.com/inward/record.url?eid=2-s2.0-85074849943&partnerID=40&md5=50b5f9142b8c9fc80a5b511bb9205020,Article,Scopus,2-s2.0-85074849943
"Banerjee, P., Du, J., Li, B., Naskar, S.Kr., Way, A., Van Genabith, J.",Combining multi-domain Statistical Machine Translation models using automatic classifiers,2010,,,1,22,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84863157918&partnerID=40&md5=f43d67ae1645db1201456977136049f7,Conference Paper,Scopus,2-s2.0-84863157918
"Baniata, L.H., Park, S., Park, S.-B.",A multitask-based neural machine translation model with part-of-speech tags integration for Arabic dialects,2018,,,1,5,10.3390/app8122502,https://www.scopus.com/inward/record.url?eid=2-s2.0-85058087007&partnerID=40&md5=a6b3052222418b5c0c211b6c8cf43c26,Article,Scopus,2-s2.0-85058087007
"Barhoumi, A., Aloulou, C., Camelin, N., Estève, Y., Belguith, L.H.",Arabic sentiment analysis: An empirical study of machine translation's impact,2018,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85059816222&partnerID=40&md5=0d7918927dbcb11c4bcc0792306c1776,Conference Paper,Scopus,2-s2.0-85059816222
"Bau, A., Durrani, N., Belinkov, Y., Dalvi, F., Sajjad, H., Glass, J.",Identifying and controlling important neurons in neural machine translation,2019,,,1,7,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85083952051&partnerID=40&md5=3ccf04bf6a1904f58803c70934a5d443,Conference Paper,Scopus,2-s2.0-85083952051
"Bekbulatov, E., Kartbayev, A.",A study of certain morphological structures of Kazakh and their impact on the machine translation quality,2014,,,1,4,10.1109/ICAICT.2014.7036013,https://www.scopus.com/inward/record.url?eid=2-s2.0-84988281677&partnerID=40&md5=408234d69d799e1f417722f61da9b0be,Conference Paper,Scopus,2-s2.0-84988281677
"Belinkov, Y., Bisk, Y.",Synthetic and natural noise both break neural machine translation,2018,,,1,50,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85083951352&partnerID=40&md5=42453b756304a4c6c66f5b288464681f,Conference Paper,Scopus,2-s2.0-85083951352
"Benkova, L., Munkova, D., Benko, ?., Munk, M.",Evaluation of English–Slovak neural and statistical machine translation,2021,,,1,,10.3390/app11072948,https://www.scopus.com/inward/record.url?eid=2-s2.0-85103847403&partnerID=40&md5=6fdee23930308df312bf902b1639c6aa,Article,Scopus,2-s2.0-85103847403
"Berrichi, S., Mazroui, A.",Enhancing Machine Translation by Integrating Linguistic Knowledge in the Word Alignment Module,2020,,,1,,10.1109/ISCV49265.2020.9204328,https://www.scopus.com/inward/record.url?eid=2-s2.0-85093847504&partnerID=40&md5=b00a74b02631f04b036d0198204ec096,Conference Paper,Scopus,2-s2.0-85093847504
"Berrichi, S., Mazroui, A.",Guiding word alignment with prior knowledge to improve English-Arabic Machine Translation,2019,,,1,,10.1145/3372938.3372957,https://www.scopus.com/inward/record.url?eid=2-s2.0-85078357664&partnerID=40&md5=3bf6a91df29b558ace33249641cca730,Conference Paper,Scopus,2-s2.0-85078357664
"Besnard, L., Gautier, T., Moy, M., Talpin, J.-P., Johnson, K., Maraninchi, F.",Automatic translation of C/C++ parallel code into synchronous formalism using an SSA intermediate form,2009,,,1,3,10.14279/tuj.eceasst.23.312.301,https://www.scopus.com/inward/record.url?eid=2-s2.0-84864341983&partnerID=40&md5=bc205b146869c63bbcde55b4084b4a9f,Conference Paper,Scopus,2-s2.0-84864341983
"Bohnert, H.G.",Logic of English grammar,1962,398,,1,,10.1145/368273.368564,https://www.scopus.com/inward/record.url?eid=2-s2.0-84945709200&partnerID=40&md5=db2d40ce28ce3ad910daf54735e997ab,Article,Scopus,2-s2.0-84945709200
"Bos, J., Nissim, M.",Cross-lingual question answering by answer translation,2006,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84922032113&partnerID=40&md5=f0ae91939874a77eb64f9efc16e3f7db,Conference Paper,Scopus,2-s2.0-84922032113
"Bowden, M., Olteanu, M., Suriyentrakorn, P., Clark, J., Moldovan, D.",LCC's PowerAnswer at QA@CLEF 2006,2006,,,1,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84922051888&partnerID=40&md5=eeae940c08dbcc7d27824f22bc879f2d,Conference Paper,Scopus,2-s2.0-84922051888
"Bravo-Candel, D., López-Hernández, J., García-Díaz, J.A., García-Sánchez, F., Molina-Molina, F.",Automatic correction of real-word errors in Spanish clinical texts,2021,,,1,,10.3390/s21092893,https://www.scopus.com/inward/record.url?eid=2-s2.0-85104414537&partnerID=40&md5=57715512c4d73809c11765325bf8e1d0,Article,Scopus,2-s2.0-85104414537
"Brown, R.D.",Exploiting document-level context for data-driven machine translation,2008,,,1,2,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84863277605&partnerID=40&md5=c37c23273f4ffed3f9243c2b7d5ce764,Conference Paper,Scopus,2-s2.0-84863277605
"Burgett, W., Chang, J.","The triple advantage factor of machine translation: Cost, time-to-market and FAUT",2008,,,1,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84858015010&partnerID=40&md5=fe9654b9e890780e7b095a228b3d13f9,Conference Paper,Scopus,2-s2.0-84858015010
"Carter, S., Monz, C.",Discriminative syntactic reranking for statistical machine translation,2010,,,1,6,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857579556&partnerID=40&md5=358bef03b7eb31b49e661a9f9193b92b,Conference Paper,Scopus,2-s2.0-84857579556
"Chakravarthi, B.R., Arcan, M., McCrae, J.P.",Improving wordnets for under-resourced languages using machine translation,2018,,,1,12,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85043683719&partnerID=40&md5=c5f1ba94a3957b953f5b747d247926aa,Conference Paper,Scopus,2-s2.0-85043683719
"Chaman Kumar, K.M., Aswale, S., Shetgaonkar, P., Pawar, V., Kale, D., Kamat, S.",A Survey of Machine Translation Approaches for Konkani to English,2020,,,1,,10.1109/ic-ETITE47903.2020.110,https://www.scopus.com/inward/record.url?eid=2-s2.0-85085164189&partnerID=40&md5=ccfc47d88b576b3d45a107205e5d168d,Conference Paper,Scopus,2-s2.0-85085164189
"Che, W., Yu, Z., Yu, Z., Wen, Y., Guo, J.",Towards Integrated Classification Lexicon for Handling Unknown Words in Chinese-Vietnamese Neural Machine Translation,2020,,,1,,10.1145/3373267,https://www.scopus.com/inward/record.url?eid=2-s2.0-85083468979&partnerID=40&md5=d2f7b958c1cd69bd9eeb56406d26d8e2,Article,Scopus,2-s2.0-85083468979
"Chen, J., Agozu, O., Zhao, W., Lien, C.C., Knudson, R., Zhang, Y.",Integrating machine translation with digital collections for multilingual information access,2012,,,1,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84992409597&partnerID=40&md5=c06018aa82001153529940d9e3c5884e,Conference Paper,Scopus,2-s2.0-84992409597
"Chen, J., Azogu, O., Zhao, W., Ruiz, M.E.",Hemt: A multilingual system for human evaluation of metadata records machine translation,2011,,,1,1,10.1002/meet.2011.14504801241,https://www.scopus.com/inward/record.url?eid=2-s2.0-84861434398&partnerID=40&md5=700a8fe923c00e96d7e791cc17db4663,Conference Paper,Scopus,2-s2.0-84861434398
"Chen, J., Knudson, R., Namgoong, M.",An investigation of effective and efficient multilingual information access to digital collections,2014,,,1,2,10.1002/meet.2014.14505101096,https://www.scopus.com/inward/record.url?eid=2-s2.0-84961918858&partnerID=40&md5=b2d3b1a95216367e30efe37bfddc3dc7,Conference Paper,Scopus,2-s2.0-84961918858
"Chen, X., Acosta, S., Barry, A.E.",Machine or human? Evaluating the quality of a language translation mobile app for diabetes education material,2017,,,1,7,10.2196/diabetes.7446,https://www.scopus.com/inward/record.url?eid=2-s2.0-85055091440&partnerID=40&md5=ee3f36887039aa6b78dfc1f5f2fb7442,Article,Scopus,2-s2.0-85055091440
"Chen, Y., Zong, C.",A structure-based model for Chinese organization name translation,2008,,,1,9,10.1145/1330291.1330292,https://www.scopus.com/inward/record.url?eid=2-s2.0-39149114710&partnerID=40&md5=2165ca5c86ab18a92147841cd69212ae,Article,Scopus,2-s2.0-39149114710
"Chimalamarri, S., Sitaram, D., Jain, A.",Morphological segmentation to improve crosslingual word embeddings for low resource languages,2020,,,1,,10.1145/3390298,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091657798&partnerID=40&md5=f93e9cc0688e57eb3fa286279638b63a,Article,Scopus,2-s2.0-85091657798
"Chimalamarri, S., Sitaram, D., Mali, R., Johnson, A., Adeab, K.A.",Improving Transformer based Neural Machine Translation with Source-side Morpho-linguistic Features,2020,,,1,,10.1109/ICMLANT50963.2020.9355969,https://www.scopus.com/inward/record.url?eid=2-s2.0-85102197420&partnerID=40&md5=60e6b8a4888be5930a8c7af10cd3a252,Conference Paper,Scopus,2-s2.0-85102197420
"Chowdhary, V., Greenwood, S.",EMT: End to end model training for MSR machine translation,2017,,,1,,10.1145/3076246.3076247,https://www.scopus.com/inward/record.url?eid=2-s2.0-85021636610&partnerID=40&md5=02d845e7ea9b71e4d19f705de1820d4b,Conference Paper,Scopus,2-s2.0-85021636610
"Chu, C., Nakazawa, T., Kawahara, D., Kurohashi, S.",Chinese-Japanese machine translation exploiting Chinese characters,2013,,,1,12,10.1145/2523057.2523059,https://www.scopus.com/inward/record.url?eid=2-s2.0-84887056965&partnerID=40&md5=d8b998bfd71576df2de5072741f0a385,Article,Scopus,2-s2.0-84887056965
"Clark, J.H., Lavie, A., Dyer, C.","One system, many domains: Open-domain statistical machine translation via feature augmentation",2012,,,1,9,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84907309595&partnerID=40&md5=eaa2b558f6aefc487703faa1e7349e78,Conference Paper,Scopus,2-s2.0-84907309595
"Climent, S., Moré, J., Oliver, A., Salvatierra, M., Sànchez, I., Taulé, M., Vallmanya, L.",Bilingual newsgroups in catalonia: A challenge for machine translation,2003,,,1,32,10.1111/j.1083-6101.2003.tb00360.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-3042589225&partnerID=40&md5=58b296af2688e58fcf3161cd5996ba33,Article,Scopus,2-s2.0-3042589225
"Cohn, T., Lapata, M.",An abstractive approach to sentence compression,2013,,,1,21,10.1145/2483669.2483674,https://www.scopus.com/inward/record.url?eid=2-s2.0-84880227825&partnerID=40&md5=3991bc64884b2f864f9dfd45cd1ab969,Article,Scopus,2-s2.0-84880227825
"Condon, S., Parvaz, D., Aberdeen, J., Doran, C., Freeman, A., Awad, M.",Machine translation errors: English and Iraqi Arabic,2011,,,1,1,10.1145/1929908.1929910,https://www.scopus.com/inward/record.url?eid=2-s2.0-79953239399&partnerID=40&md5=df2ee16d594b451198ac4e216ecde346,Article,Scopus,2-s2.0-79953239399
"Costa-Jussà, M.R., Casas, N., Escolano, C., Fonollosa, J.A.R.",Chinese-Catalan: A neural machine translation approach based on pivoting and attention mechanisms,2019,,,1,1,10.1145/3312575,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065611448&partnerID=40&md5=176fc33a058aff4f21e34a877850744b,Article,Scopus,2-s2.0-85065611448
"Costa-Jussà, M.R., Centelles, J.",Description of the Chinese-to-Spanish rule-based machine translation system developed using a hybrid combination of human annotation and statistical techniques,2015,,,1,8,10.1145/2738045,https://www.scopus.com/inward/record.url?eid=2-s2.0-85020869893&partnerID=40&md5=886ef3302e5a74afe56b58062d9ec716,Article,Scopus,2-s2.0-85020869893
"Costa-Jussà, M.R., Daudaravicius, V., Banchs, R.E.",Integration of statistical collocation segmentations in a phrase-based statistical machine translation system,2010,,,1,1,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84857539899&partnerID=40&md5=719f2109e82d691423f1a8bd4410e5e7,Conference Paper,Scopus,2-s2.0-84857539899
"Costa-Jussà, M.R., Farrus, M.",Statistical machine translation enhancements through linguistic levels: A survey,2014,,,1,16,10.1145/2518130,https://www.scopus.com/inward/record.url?eid=2-s2.0-84893904048&partnerID=40&md5=612004d534ca8051548495ca418a6afe,Review,Scopus,2-s2.0-84893904048
"Cuong, H., Cuong, L.A., Thai, N.P., Bao, H.T.",Exploiting non-parallel corpora for statistical machine translation,2012,,,1,1,10.1109/rivf.2012.6169833,https://www.scopus.com/inward/record.url?eid=2-s2.0-84860482947&partnerID=40&md5=66282371226a4d50dafb0ce9344aecb0,Conference Paper,Scopus,2-s2.0-84860482947
"Dabre, R., Chu, C., Kunchukuttan, A.",A Survey of Multilingual Neural Machine Translation,2020,,,1,3,10.1145/3406095,https://www.scopus.com/inward/record.url?eid=2-s2.0-85094321022&partnerID=40&md5=60d78217e25905a8adfbc56b0b37cdd7,Article,Scopus,2-s2.0-85094321022
