"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Comparison of Data Augmentation and Adaptation Strategies for Code-switched Automatic Speech Recognition","M. Ma; B. Ramabhadran; J. Emond; A. Rosenberg; F. Biadsy","Google Inc., USA; Google Inc., USA; Google Inc., USA; Google Inc., USA; Google Inc., USA","ICASSP 2019 - 2019 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","17 Apr 2019","2019","","","6081","6085","Code-switching occurs when the speaker alternates between two or more languages or dialects. It is a pervasive phenomenon in most Indic spoken languages. Code-switching poses a challenge in language modeling as it complicates the orthographic realization of text, and generally, there is a shortage of code-switched data. In this paper, we investigate data augmentation and adaptation strategies for language modeling. Using Bengali and English as an example, we study augmenting the code-switched transcripts with separate transliterated Bengali and English corpora. We present results on two speech recognition tasks, namely, voice search and dictation. We show improvements on both tasks with Maximum Entropy (MaxEnt) and Long Short-Term Memory (LSTM) language models (LMs). We also explore different adaptation strategies for MaxEnt LM and LSTM LM, demonstrating that the transliteration-based data-augmented LSTM LM matches the adapted MaxEnt LM which is trained on more Bengali-English data.","2379-190X","978-1-4799-8131-1","10.1109/ICASSP.2019.8682824","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8682824","data augmentation;language model adaptation;code-switched automatic speech recognition","Adaptation models;Data models;Poles and towers;Writing;Predictive models;Training;Training data","entropy;speech coding;speech recognition","code-switched data;data augmentation;code-switched transcripts;transliteration-based data-augmented LSTM LM;adapted MaxEnt LM;Bengali-English data;code-switched automatic speech recognition;pervasive phenomenon;long short-term memory language models;Indic spoken language modeling;maximum entropy","","","","30","","17 Apr 2019","","","IEEE","IEEE Conferences"
"Japanese named entity recognition for question answering system","Y. Liu; F. Ren","Graduate School of Advanced Technology and Science, The University of Tokushima, Tokushima, Japan, Faculty of Engineering, The University of Tokushima, Japan; Graduate School of Advanced Technology and Science, The University of Tokushima, Tokushima, Japan, Faculty of Engineering, The University of Tokushima, Japan","2011 IEEE International Conference on Cloud Computing and Intelligence Systems","13 Oct 2011","2011","","","402","406","Current question answering (QA) systems usually contain named entity recognizer (NER) as a core component. NER is an important and difficult task in computational linguistics. It plays an important role in natural language processing application such as Question Answering, Machine Translation, and Information Retrieval etc. NER includes the identification and classification of certain proper nouns (like location, organization, person, data, money and others) in a text. The purpose of our study is to recognize and extract the exact Japanese sight seeing domain named entities. It is a basic step for the following processing: question analysis and keyword extraction information retrieval. As well as, through doing the named entity recognition, we consider that it can mine exact information from text document to respond to user. This paper describes how to do the Japanese sightseeing named entity recognition due to we are constructing a Japanese sightseeing question answering system. We adopt the hybrid method which combined with machine learning and rule-base method. In the experiment of Japanese sightseeing domain named entity recognition we have got excellent precision and recalling rates. It shows that our method is effective and can be used in a practical question answering system.","2376-595X","978-1-61284-204-2","10.1109/CCIS.2011.6045098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6045098","question answering system;named entity recognition;machine learning;rule-base","Organizations;Educational institutions;Training;Text recognition;Machine learning;Support vector machines;Data mining","information retrieval;language translation;natural language processing;speech recognition","Japanese named entity recognition;question answering system;QA;NER;computational linguistics;natural language processing;machine translation;keyword extraction information retrieval;text document","","3","","15","","13 Oct 2011","","","IEEE","IEEE Conferences"
"Scalable Multilingual Frontend for TTS","A. Conkie; A. Finch",Apple; Apple,"ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","6684","6688","This paper describes progress towards making a Neural Text-to-Speech (TTS) Frontend that works for many languages and can be easily extended to new languages. We take a Machine Translation (MT) inspired approach to constructing the frontend, and model both text normalization and pronunciation on a sentence level by building and using sequence-to-sequence (S2S) models. We experimented with training normalization and pronunciation as separate S2S models and with training a single S2S model combining both functions. For our language-independent approach to pronunciation we do not use a lexicon. Instead all pronunciations, including context-based pronunciations, are captured in the S2S model. We also present a language-independent chunking and splicing technique that allows us to process arbitrary-length sentences. Models for 18 languages were trained and evaluated. Many of the accuracy measurements are above 99%. We also evaluated the models in the context of end-to-end synthesis against our current production system.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9054560","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054560","speech synthesis;machine learning","Training;Production systems;Splicing;Data models;Iron;Speech processing;Context modeling","language translation;natural language processing;neural nets;speech recognition;speech synthesis;text analysis","TTS;machine translation;model both text normalization;pronunciation;training normalization;single S2S model;context-based pronunciations;language-independent chunking;splicing technique;arbitrary-length sentences;text-to-speech frontend","","1","","20","","9 Apr 2020","","","IEEE","IEEE Conferences"
"American Sign Language Recognition using Deep Learning and Computer Vision","K. Bantupalli; Y. Xie","Department of Computer Science, Kennesaw State University, Kennesaw, USA; Department of Computer Science, Kennesaw State University, Kennesaw, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","4896","4899","Speech impairment is a disability which affects an individuals ability to communicate using speech and hearing. People who are affected by this use other media of communication such as sign language. Although sign language is ubiquitous in recent times, there remains a challenge for non-sign language speakers to communicate with sign language speakers or signers. With recent advances in deep learning and computer vision there has been promising progress in the fields of motion and gesture recognition using deep learning and computer vision based techniques. The focus of this work is to create a visionbased application which offers sign language translation to text thus aiding communication between signers and non-signers. The proposed model takes video sequences and extracts temporal and spatial features from them. We then use Inception, a CNN (Convolutional Neural Network) for recognizing spatial features. We then use a RNN (Recurrent Neural Network) to train on temporal features. The dataset used is the American Sign Language Dataset.","","978-1-5386-5035-6","10.1109/BigData.2018.8622141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622141","computer science;machine learning;computer vision;sign language","Gesture recognition;Assistive technology;Feature extraction;Training;Hidden Markov models;Conferences;Recurrent neural networks","computer vision;convolutional neural nets;feature extraction;gesture recognition;handicapped aids;image sequences;language translation;learning (artificial intelligence);recurrent neural nets;sign language recognition","deep learning;computer vision;gesture recognition;sign language translation;American sign language recognition;speech impairment;nonsign language;sign language speakers;motion recognition;American sign language dataset;video sequences;temporal feature extraction;spatial feature extraction;Inception;CNN;convolutional neural network;spatial feature recognition;RNN;recurrent neural network","","14","","10","","24 Jan 2019","","","IEEE","IEEE Conferences"
"Sign language localization: Learning to eliminate language dialects","M. Tariq; A. Iqbal; A. Zahid; Z. Iqbal; J. Akhtar","Department of Computer Science, Kinnaird College for Women, Lahore, Pakistan; Department of Computer Science, Kinnaird College for Women, Lahore, Pakistan; Department of Computer Science, Kinnaird College for Women, Lahore, Pakistan; Department of Computer Science, Kinnaird College for Women, Lahore, Pakistan; Department of Computer Science, School of Science and Engineering, LUMS, Lahore, Pakistan","2012 15th International Multitopic Conference (INMIC)","2 May 2013","2012","","","17","22","Machine translation of sign language into spoken languages is an important yet non-trivial task. The sheer variety of dialects that exist in any sign language makes it only harder to come up with a generalized sign language classification system. Though a lot of work has been done in this area previously but most of the approaches rely on intrusive hardware in the form of wired or colored gloves or are specific language/dialect dependent for accurate sign language interpretation. We propose a cost-effective, non-intrusive webcam based solution in which a person from any part of the world can train our system to make it learn the sign language in their own specific dialect, so that our software can then correctly translate the hand signs into a commonly spoken language, such as English. Image based hand gesture recognition carries sheer importance in this task. The heart of hand gesture recognition systems is the detection and extraction of the sign (hand gesture) from the input image stream. Our work uses functions like skin color based thresholding, contour detection and convexity defect for detection of hands and identification of important points on the hand respectively. The distance of these important contour points from the centroid of the hand becomes our feature vector against which we train our neural network. The system works in two phases. In the training phase the correspondence between users hand gestures against each sign language symbol is learnt using a feed forward neural network with back propagation learning algorithm. Once the training is complete, user is free to use our system for translation or communication with other people. Experimental results based on training and testing the system with numerous users show that the proposed method can work well for dialect-free sign language translation (numerals and alphabets) and gives us average recognition accuracies of around 65% and 55% with the maximum recognition accuracies rising upto 77% and 62% respectively.","","978-1-4673-2252-2","10.1109/INMIC.2012.6511463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6511463","Sign Language Recognition;Dialect Independence;Machine Translation;Digital Image Processing;Artificial Neural Networks","","backpropagation;feature extraction;feedforward neural nets;image colour analysis;image segmentation;language translation;sign language recognition","sign language localization;language dialects;machine translation;sign language classification system;nonintrusive Webcam based solution;sign detection;sign extraction;hand gesture recognition systems;skin color based thresholding;image stream;contour points;feature vector;sign language symbol;feed forward neural network;back propagation learning algorithm;contour detection;convexity defect","","4","","11","","2 May 2013","","","IEEE","IEEE Conferences"
"Cross-View Action Recognition Based on a Statistical Translation Framework","J. Wang; H. Zheng; J. Gao; J. Cen","School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China; School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China; School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China; School of Information Science and Technology, Sun Yat-sen University, Guangzhou, China","IEEE Transactions on Circuits and Systems for Video Technology","2 Aug 2016","2016","26","8","1461","1475","Actions captured under view changes pose serious challenges to modern action recognition methods. In this paper, we propose an effective approach for cross-view action recognition based on a statistical translation framework, which boils down to estimation of visual word transfer probabilities across views. Specifically, local features are extracted from action video frames and form bags of words based on k-means clustering. Though the appearance of an action may vary due to view changes, the underlying transfer tendency between visual words across views can be exploited. We propose two methods to measure the visual-word-based transfer relationship that are eventually based on frequency counts of word pairs. In the first method, word transfer probabilities are estimated by maximizing the likelihood of a shared action set with the EM algorithm. In the second method, word transfer probabilities are estimated by using likelihood-ratio tests. The two methods achieve comparable results and perform better when they are combined. For cross-view action classification, we compute action transfer probabilities based on the estimated word transfer probabilities and then implement a K-NN-like classification based on action video transfer probabilities. We verified our method on the public multiview IXMAS dataset and the WVU dataset. Promising results are obtained compared with state-of-the-art methods.","1558-2205","","10.1109/TCSVT.2014.2382984","National Natural Science Foundation of China; Key Projects in the National Science and Technology Pillar Program during the 12th Five-Year Plan Period; Science and Technology Program of Guangzhou, China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6990544","Cross-view action recognition;expectation-maximization algorithm;log-likelihood-ratio tests;statistical machine translation;transfer probabilities","Visualization;Probability;Estimation;Feature extraction;Training;Hidden Markov models;Target recognition","feature extraction;image classification;image motion analysis;maximum likelihood estimation;pattern clustering;probability;statistical analysis","cross-view action recognition;statistical translation framework;visual word transfer probabilities;feature extraction;action video frames;bags-of-words;k-means clustering;visual-word-based transfer relationship;frequency counts;word transfer probabilities;EM algorithm;cross-view action classification;K-NN-classification;action video transfer probabilities;public multiview IXMAS dataset;WVU dataset","","10","","56","","18 Dec 2014","","","IEEE","IEEE Journals"
"A system for the automatic measurement of the nuchal translucency thickness from ultrasound video stream of the foetus","A. Anzalone; G. Fusco; F. Isgrò; E. Orlandi; R. Prevete; G. Sciortino; D. Tegolo; C. Valenti","IASF, National Institute of Astrophysics, Palermo, Italy; Dipartimento di Informatica, Bioingegneria, Robotica e Ingegneria dei Sistemi, Università di Genova, Italy; Dipartimento di Ingegneria Elettrica e delle Tecnologie dell'Informazione, Università di Napoli Federico II, Italy; Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone di Palermo, Italy; Dipartimento di Ingegneria Elettrica e delle Tecnologie dell'Informazione, Università di Napoli Federico II, Italy; Dipartimento di Matematica e Informatica, Università di Palermo, Italy; Dipartimento di Matematica e Informatica, Università di Palermo, Italy; Dipartimento di Matematica e Informatica, Università di Palermo, Italy","Proceedings of the 26th IEEE International Symposium on Computer-Based Medical Systems","10 Oct 2013","2013","","","239","244","Nowadays the measurement of the nuchal translucency thickness is being used as part of routine ultrasound scanning during the end of the first trimester of pregnancy, for the screening of chromosomal defects, as trisomy 21. Currently, the measurement is being performed manually by physicians. The measurement can take a long time for being accomplished, needs to be performed by highly skilled operators, and is prone to errors. Semi-automated methods requires that the user manually selects a region of the image containing the nuchal translucency, procedure that is somewhat time consuming. In this paper we present a complete system prototype that is able to perform the measurement of the nuchal translucency thickness without any manual intervention from the operator, operating on the video stream coming out from the ultrasound machine.","1063-7125","978-1-4799-1053-3","10.1109/CBMS.2013.6627795","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6627795","","Thickness measurement;Ultrasonic variables measurement;Ultrasonic imaging;Medical services;Cost function;Extraterrestrial measurements;Streaming media","biomedical ultrasonics;medical image processing;obstetrics;thickness measurement;video signal processing","automatic measurement;nuchal translucency thickness;ultrasound video stream;foetus;ultrasound scanning;pregnancy;chromosomal defect screening;ultrasound machine","","6","","14","","10 Oct 2013","","","IEEE","IEEE Conferences"
"Neonatal seizure detection using convolutional neural networks","A. O'Shea; G. Lightbody; G. Boylan; A. Temko","Irish Centre for Fetal and Neonatal Translational Research, University College Cork; Irish Centre for Fetal and Neonatal Translational Research, University College Cork; Irish Centre for Fetal and Neonatal Translational Research, University College Cork; Irish Centre for Fetal and Neonatal Translational Research, University College Cork","2017 IEEE 27th International Workshop on Machine Learning for Signal Processing (MLSP)","7 Dec 2017","2017","","","1","6","This study presents a novel end-to-end architecture that learns hierarchical representations from raw EEG data using fully convolutional deep neural networks for the task of neonatal seizure detection. The deep neural network acts as both feature extractor and classifier, allowing for end-to-end optimization of the seizure detector. The designed system is evaluated on a large dataset of continuous unedited multichannel neonatal EEG totaling 835 hours and comprising of 1389 seizures. The proposed deep architecture, with sample-level filters, achieves an accuracy that is comparable to the state-of-the-art SVM-based neonatal seizure detector, which operates on a set of carefully designed hand-crafted features. The fully convolutional architecture allows for the localization of EEG waveforms and patterns that result in high seizure probabilities for further clinical examination.","","978-1-5090-6341-3","10.1109/MLSP.2017.8168193","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8168193","neonatal seizure detection;convolutional neural networks;support vector machine;EEG waveforms","Electroencephalography;Feature extraction;Pediatrics;Support vector machines;Convolution;Time-frequency analysis;Training","convolution;electroencephalography;feature extraction;filtering theory;medical disorders;medical signal processing;neural nets;optimisation;paediatrics;signal classification;signal representation;signal sampling","raw EEG data;fully convolutional deep neural networks;neonatal seizure detection;deep neural network;feature extractor;classifier;end-to-end optimization;continuous unedited multichannel neonatal EEG;deep architecture;fully convolutional architecture;convolutional neural networks;end-to-end architecture;hierarchical representations;EEG waveforms;sample-level filters","","3","","27","","7 Dec 2017","","","IEEE","IEEE Conferences"
"An Effective Coverage Approach for Attention-based Neural Machine Translation","H. -Q. Nguyen; T. -M. Nguyen; H. -H. Vu; V. -V. Nguyen; P. -T. Nguyen; T. -N. -M. Dao; K. -H. Tran; K. -Q. Dinh","University of Engineering and Technology, VNU,Department of Computer Science,Hanoi; University of Engineering and Technology, VNU,Department of Computer Science,Hanoi; University of Engineering and Technology, VNU,Department of Computer Science,Hanoi; University of Engineering and Technology, VNU,Department of Computer Science,Hanoi; University of Engineering and Technology, VNU,Department of Computer Science,Hanoi; University of Languages and International Studies, VNU,Faculty of Japanese Language and Culture,Hanoi; University of Languages and International Studies, VNU,Faculty of Japanese Language and Culture,Hanoi; University of Engineering and Technology, VNU,Department of Computer Science,Hanoi","2019 6th NAFOSTED Conference on Information and Computer Science (NICS)","5 Mar 2020","2019","","","240","245","The following topics are dealt with: learning (artificial intelligence); convolutional neural nets; feature extraction; neural nets; image classification; Internet of Things; computer vision; free-space optical communication; image segmentation; support vector machines.","","978-1-7281-5163-2","10.1109/NICS48868.2019.9023793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9023793","","Natural language processing;Neural networks;Machine translation","feature extraction;free-space optical communication;image classification;Internet of Things;learning (artificial intelligence);neural nets","support vector machines;image segmentation;free-space optical communication;computer vision;Internet of Things;image classification;neural nets;feature extraction;convolutional neural nets;learning (artificial intelligence)","","1","","12","","5 Mar 2020","","","IEEE","IEEE Conferences"
"Large-Scale Distributed Language Modeling","A. Emami; K. Papineni; J. Sorensen","IBM T J Watson Research Center, 1101 Kitchawan Rd., Yorktown Heights, NY 10598. emami@us.ibm.com; Yahoo! Research, 45 W. 18th St., NewYork, NY 10011. kpapi@yahoo-inc.com; IBM T J Watson Research Center, 1101 Kitchawan Rd., Yorktown Heights, NY 10598. sorenj@us.ibm.com","2007 IEEE International Conference on Acoustics, Speech and Signal Processing - ICASSP '07","4 Jun 2007","2007","4","","IV-37","IV-40","A novel distributed language model that has no constraints on the n-gram order and no practical constraints on vocabulary size is presented. This model is scalable and allows for an arbitrarily large corpus to be queried for statistical estimates. Our distributed model is capable of producing n-gram counts on demand. By using a novel heuristic estimate for the interpolation weights of a linearly interpolated model, it is possible to dynamically compute the language model probabilities. The distributed architecture follows the client-server paradigm and allows for each client to request an arbitrary weighted mixture of the corpus. This allows easy adaptation of the language model to particular test conditions. Experiments using the distributed LM for re-ranking N-best lists of a speech recognition system resulted in considerable improvements in word error rate (WER), while integration with a machine translation decoder resulted in significant improvements in translation quality as measured by the BLEU score.","2379-190X","1-4244-0727-3","10.1109/ICASSP.2007.367157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218031","Statistical language modeling;Speech recognition;Statistical machine translation;Client-server systems;Distributed memory systems","Large-scale systems;Decoding;Natural languages;Training data;Automatic speech recognition;Vocabulary;Probability;Speech recognition;Error analysis;Surface-mount technology","client-server systems;decoding;interpolation;language translation;natural language processing;speech coding;speech recognition;statistical analysis","re-ranking N-best lists;speech recognition system;word error rate;n-gram order;interpolation weights;language model probabilities;client-server paradigm;machine translation decoder;large-scale distributed language modeling","","6","6","12","","4 Jun 2007","","","IEEE","IEEE Conferences"
"Answering English Queries in Automatically Transcribed Arabic Speech","A. F. A. Nwesri; S. M. M. Tahaghoghi; F. Scholer","RMIT University, Australia; RMIT University, Australia; RMIT University, Australia","6th IEEE/ACIS International Conference on Computer and Information Science (ICIS 2007)","23 Jul 2007","2007","","","11","16","There are several well-known approaches to parsing Arabic text in preparation for indexing and retrieval. Techniques such as stemming and stopping have been shown to improve search results on written newswire dispatches, but few comparisons are available on other data sources. In this paper, we apply several alternative stemming and stopping approaches to Arabic text automatically extracted from the audio soundtrack of news video footage, and compare these with approaches that rely on machine translation of the underlying text. Using the TRECVID video collection and queries, we show that normalisation, stopword- removal, and light stemming increase retrieval precision, but that heavy stemming and trigrams have a negative effect. We also show that the choice of machine translation engine plays a major role in retrieval effectiveness.","","0-7695-2841-4","10.1109/ICIS.2007.61","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4276350","Arabic information retrieval;Cross-language;information retrieval;Machine translation.","Information retrieval;Data mining;Automatic speech recognition;Indexing;Acoustic noise;Shape;Computer science;Information technology;Australia;Engines","grammars;indexing;language translation;natural languages;speech recognition;text analysis;video retrieval","English query answering;automatically transcribed Arabic speech;parsing;indexing;audio soundtrack;news video footage;machine translation engine;Arabic information retrieval;Arabic text","","","","18","","23 Jul 2007","","","IEEE","IEEE Conferences"
"Towards a Modular Brain-Machine Interface for Intelligent Vehicle Systems Control – A CARLA Demonstration","C. Dunlap; L. Bird; I. Burkhart; K. Eipel; S. Colachis; N. Annetta; P. Ganzer; G. Sharma; D. Friedenberg; R. Franklin; M. Gerhardt; A. Ravindran; A. Hassani; D. Filev; F. Solzbacher; M. Bockbrader","The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA; The Ohio State University,Columbus,OH,USA","2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)","28 Nov 2019","2019","","","277","284","Objective: Individuals with paralysis often have mobility and dexterity impairments that limit their ability to operate motor vehicle controls. Integrating brain-machine interface (BMI) neurotechnology with vehicle control systems (VCS) provides a novel solution to this problem. In this proof-of-concept study, we show that an intracortical BMI developed to restore voluntary grasp can be repurposed to decode motor intention for vehicle velocity and steering control. Methods: The BMI-VCS consists of four components: 1) implanted motor cortex microelectrode array and NeuroPort data acquisition system, 2) machine learning workstation, 3) Python interface to generate control signals, and 4) vehicle control system. Results: Direct cortical steering and velocity control were achieved through accurate decoding of movement intention (supination, pronation, hand open, hand close) from the participant's motor cortex, translating intention into vehicle commands (turn right, turn left, accelerate, decelerate, respectively), and dynamically switching between commands to turn corners, start and stop, shift from forward to reverse, and parallel park. Conclusion: By translating BMI decoder outputs into high-level vehicle commands, a participant with tetraparesis from C5 ASIA A spinal cord injury successfully navigated CARLA driving simulator courses in real time. These decoder outputs could also be used offline for shared control of a scale model car. Significance: High-level, shared vehicle control with BMI-VCS offers an innovative way to return independent driving abilities to those with disability. BMI systems that can control multiple end-effectors may be particularly useful to those with paralysis.","2577-1655","978-1-7281-4569-3","10.1109/SMC.2019.8914317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8914317","Assistive technology;brain-machine interface;steering control;velocity control;intelligent vehicle systems","Decoding;Task analysis;Training;Automobiles;Support vector machines;Cruise control","bioelectric potentials;biomechanics;brain-computer interfaces;control engineering computing;decoding;handicapped aids;injuries;learning (artificial intelligence);medical signal processing;microelectrodes;neurocontrollers;neurophysiology;patient rehabilitation;prosthetics;velocity control","modular brain-machine interface;intelligent vehicle systems control;CARLA demonstration;paralysis;mobility;dexterity impairments;motor vehicle controls;integrating brain-machine interface neurotechnology;vehicle control systems;intracortical BMI;voluntary grasp;decode motor intention;vehicle velocity;steering control;BMI-VCS;control signals;velocity control;accurate decoding;movement intention;turn corners;translating BMI decoder;high-level vehicle commands;CARLA driving simulator courses;decoder outputs;shared control;shared vehicle control;BMI systems","","","","20","","28 Nov 2019","","","IEEE","IEEE Conferences"
"DeepTaste: Augmented Reality Gustatory Manipulation with GAN-Based Real-Time Food-to-Food Translation","K. Nakano; D. Horita; N. Sakata; K. Kiyokawa; K. Yanai; T. Narumi",Nara Institute of Science and Technology; The University of Electro-Communications; Nara Institute of Science and Technology; Nara Institute of Science and Technology; The University of Electro-Communications; The University of Tokyo,"2019 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)","30 Dec 2019","2019","","","212","223","We have been studying augmented reality (AR)-based gustatory manipulation interfaces and previously proposed a gustatory manipulation interface using generative adversarial network (GAN)-based real time image-to-image translation. Unlike three-dimensional (3D) food model-based systems that only change the color or texture pattern of a particular type of food in an inflexible manner, our GAN-based system changes the appearance of food into multiple types of food in real time flexibly, dynamically, and interactively. In the present paper, we first describe in detail a user study on a vision-induced gustatory manipulation system using a 3D food model and report its successful experimental results. We then summarize identified problems of the 3D model-based system and describe implementation details of the GAN-based system. We finally report in detail the main user study in which we investigated the impact of the GAN-based system on gustatory sensations and food recognition when somen noodles were turned into ramen noodles or fried noodles, and steamed rice into curry and rice or fried rice. The experimental results revealed that our system successfully manipulates gustatory sensations to some extent and that the effectiveness seems to depend on the original and target types of food as well as the experience of each individual with the food.","1554-7868","978-1-7281-0987-9","10.1109/ISMAR.2019.000-1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943779","Human centered computing Human computer interaction (HCI) Interaction paradigms Mixed / augmented reality Computing methodologies Computer graphics Graphics systems and interfaces Perception Computing methodologies Machine learning Machine learning approaches Neural networks","Three-dimensional displays;Solid modeling;Real-time systems;Visualization;Resists;Image color analysis;Modulation","augmented reality;chemioception;computer vision;food products;image texture;mobile computing","3D model-based system;vision-induced gustatory manipulation system;three-dimensional food model-based systems;image-to-image translation;generative adversarial network-based;gustatory manipulation interface;augmented reality-based gustatory manipulation interfaces;GAN-based real-time food-to-food;augmented reality gustatory manipulation;food recognition;gustatory sensations;GAN-based system","","1","","47","","30 Dec 2019","","","IEEE","IEEE Conferences"
"Fully Automatic Three-Dimensional Ultrasound Imaging Based on Conventional B-Scan","Q. Huang; B. Wu; J. Lan; X. Li","School of Mechanical Engineering and the Center for Optical Imagery Analysis and Learning, Northwestern Polytechnical University, Xi'an, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; Xi'an Institute of Optics and Precision Mechanics, Chinese Academy of Sciences, Xi'an, China","IEEE Transactions on Biomedical Circuits and Systems","21 Mar 2018","2018","12","2","426","436","Robotic ultrasound systems have turned into clinical use over the past few decades, increasing precision and quality of medical operations. In this paper, we propose a fully automatic scanning system for three-dimensional (3-D) ultrasound imaging. A depth camera was first used to obtain the depth data and color data of the tissue surface. Based on the depth image, the 3-D contour of the tissue was rendered and the scan path of ultrasound probe was automatically planned. Following the scan path, a 3-D translating device drove the probe to move on the tissue surface. Simultaneously, the B-scans and their positional information were recorded for subsequent volume reconstruction. In order to stop the scanning process when the pressure on the skin exceeded a preset threshold, two force sensors were attached to the front side of the probe for force measurement. In vitro and in vivo experiments were conducted for assessing the performance of the proposed system. Quantitative results show that the error of volume measurement was less than 1%, indicating that the system is capable of automatic ultrasound scanning and 3-D imaging. It is expected that the proposed system can be well used in clinical practices.","1940-9990","","10.1109/TBCAS.2017.2782815","National Natural Science Foundation of China; Guangzhou Key Lab of Body Data Science; Natural Science Foundation of Guangdong Province, China; Project of Science and Technology Department of Guangdong Province; Science and Technology Program of Guangzhou; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8279642","Automatic ultrasound scanning;depth imaging;robotic 3D ultrasound;scan path planning","Ultrasonic imaging;Three-dimensional displays;Probes;Imaging;Robots;Breast;Image reconstruction","biological tissues;biomedical ultrasonics;cameras;force measurement;force sensors;image colour analysis;image reconstruction;medical image processing;medical robotics;volume measurement","force measurement;automatic ultrasound scanning;3-D imaging;robotic ultrasound systems;medical operations;fully automatic scanning system;depth camera;depth data;color data;tissue surface;depth image;3-D contour;scan path;ultrasound probe;3-D translating device;B-scans;subsequent volume reconstruction;scanning process;autofully automatic three-dimensional ultrasound imaging","Adult;Breast;Female;Humans;Imaging, Three-Dimensional;Lumbosacral Region;Male;Phantoms, Imaging;Ultrasonography;Ultrasonography, Prenatal;Young Adult","11","","51","","2 Feb 2018","","","IEEE","IEEE Journals"
