"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"T3UC5EN4","conferencePaper","2001","Aljlayl, Mohammed; Frieder, Ophir","Effective Arabic-English Cross-Language Information Retrieval via Machine-Readable Dictionaries and Machine Translation","Proceedings of the Tenth International Conference on Information and Knowledge Management","1-58113-436-3","","10.1145/502585.502635","https://doi.org/10.1145/502585.502635","In Cross-Language Information Retrieval (CLIR), queries in one language retrieve relevant documents in other languages Machine-Readable Dictionary (MRD) and Machine Translation (MT) are important resources for query translation in CLIR. We investigate MT and MRD to Arabic-English CLIR. The translation ambiguity associated with these resources is the key problem. We present three methods of query translation using a bilingual dictionary for Arabic-English CLIR. First, we present the Every-Match (EM) method. This method yields ambiguous translations since many extraneous terms are added to the original query. To disambiguate the query translation, we present the First-Match (FM) method that considers the first match in the dictionary as the candidate term. Finally, we present the Two-Phase (TP) method. We show that good retrieval effectiveness can be achieved without complex resources using the Two-Phase method for Arabic-English CLIR. We also empirically evaluate the effectiveness of the MT-based method using short, medium, and long queries from TREC. The effects of the query length on the quality of the MT-based CLIR are investigated.","2001","2021-06-23 11:37:02","2021-06-23 11:37:02","","295–302","","","","","","","CIKM '01","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Atlanta, Georgia, USA","","","","cross-language; machine translation; machine-readable dictionary; two-phase","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A2XYUFX2","conferencePaper","2011","Parton, Kristen; Tetreault, Joel; Madnani, Nitin; Chodorow, Martin","E-Rating Machine Translation","Proceedings of the Sixth Workshop on Statistical Machine Translation","978-1-937284-12-1","","","","We describe our submissions to the WMT11 shared MT evaluation task: MTeRater and MTeRater-Plus. Both are machine-learned metrics that use features from e-rater®, an automated essay scoring engine designed to assess writing proficiency. Despite using only features from e-rater and without comparing to translations, MTeRater achieves a sentence-level correlation with human rankings equivalent to BLEU. Since MTeRater only assesses fluency, we build a meta-metric, MTeRater-Plus, that incorporates adequacy by combining MTeRater with other MT evaluation metrics and heuristics. This meta-metric has a higher correlation with human rankings than either MTeRater or individual MT metrics alone. However, we also find that e-rater features may not have significant impact on correlation in every case.","2011","2021-06-23 11:37:02","2021-06-23 11:37:02","","108–115","","","","","","","WMT '11","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Edinburgh, Scotland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QPWP3PH3","conferencePaper","2019","de Oliveira, Caio César Moraes; Rêgo, Thaís Gaudencio do; Lima, Manuella Aschoff Cavalcanti Brandão; de Araújo, Tiago Maritan Ugulino","Analysis of Rule-Based Machine Translation and Neural Machine Translation Approaches for Translating Portuguese to LIBRAS","Proceedings of the 25th Brazillian Symposium on Multimedia and the Web","978-1-4503-6763-9","","10.1145/3323503.3360305","https://doi.org/10.1145/3323503.3360305","In this paper, we propose a rule-based machine translator for Brazilian Portuguese to Brazilian Sign Language translation. This translator was implemented using the part of speech tagging and lemmatization techniques with implementations in Aelius and CoGrOO, respectively. Then, we developed a convolutional translator seeking to replicate the rule-based translation with a sintetic corpus. In this corpus, preprocessing techniques such as substitution of names, numbers and spelling errors by symbols were applied to improve processing. The translator were tested on two corpus, Bosque e OpenSub (extracted from a site of subtitles), of 69 and 36.858 lines respectively, and compared with translations generated by interpreters and translations generated by the application VLibras (LAVID-UFPB).","2019","2021-06-23 11:37:03","2021-06-23 11:37:03","","117–124","","","","","","","WebMedia '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Rio de Janeiro, Brazil","","","","machine translation; neural machine translation; sign language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FM2ZAXL7","conferencePaper","2009","Dyer, Chris; Setiawan, Hendra; Marton, Yuval; Resnik, Philip","The University of Maryland Statistical Machine Translation System for the Fourth Workshop on Machine Translation","Proceedings of the Fourth Workshop on Statistical Machine Translation","","","","","This paper describes the techniques we explored to improve the translation of news text in the German-English and Hungarian-English tracks of the WMT09 shared translation task. Beginning with a convention hierarchical phrase-based system, we found benefits for using word segmentation lattices as input, explicit generation of beginning and end of sentence markers, minimum Bayes risk decoding, and incorporation of a feature scoring the alignment of function words in the hypothesized translation. We also explored the use of monolingual paraphrases to improve coverage, as well as co-training to improve the quality of the segmentation lattices used, but these did not lead to improvements.","2009","2021-06-23 11:37:03","2021-06-23 11:37:03","","145–149","","","","","","","StatMT '09","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Athens, Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H9PSERR7","conferencePaper","2010","Callison-Burch, Chris; Koehn, Philipp; Monz, Christof; Peterson, Kay; Przybocki, Mark; Zaidan, Omar F.","Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation","Proceedings of the Joint Fifth Workshop on Statistical Machine Translation and MetricsMATR","978-1-932432-71-8","","","","This paper presents the results of the WMT10 and MetricsMATR10 shared tasks, which included a translation task, a system combination task, and an evaluation task. We conducted a large-scale manual evaluation of 104 machine translation systems and 41 system combination entries. We used the ranking of these systems to measure how strongly automatic metrics correlate with human judgments of translation quality for 26 metrics. This year we also investigated increasing the number of human judgments by hiring non-expert annotators through Amazon's Mechanical Turk.","2010","2021-06-23 11:37:04","2021-06-23 11:37:04","","17–53","","","","","","","WMT '10","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Uppsala, Sweden","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUKSZ9F4","conferencePaper","2011","Bahadur, P.; Jain, A.; Chauhan, D. S.","English to Sanskrit Machine Translation","Proceedings of the International Conference &amp; Workshop on Emerging Trends in Technology","978-1-4503-0449-8","","10.1145/1980022.1980161","https://doi.org/10.1145/1980022.1980161","Machine Translation is one of the most challenging tasks in natural language processing. Statistical machine translation (SMT) looks into the translation of natural language as a machine learning problem. Since, the advent of globalization need for cross language translator has increased. English has emerged as most popular language on World Wide Web. The developing regions still strive to access the information in local languages. Translation of English into local languages can make information flow easier. This paper is on undergoing research for design and development of a cross language system from English to Sanskrit to make the same convenient.","2011","2021-06-23 11:37:04","2021-06-23 11:37:04","","641–645","","","","","","","ICWET '11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Mumbai, Maharashtra, India","","","","analysis; development; interlingua; language divergence; machine translation; Natural language processing; sanskrit; translation theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QWCRHET","journalArticle","2005","Murata, Masaki; Utiyama, Masao; Uchimoto, Kiyotaka; Isahara, Hitoshi; Ma, Qing","Correction of Errors in a Verb Modality Corpus for Machine Translation with a Machine-Learning Method","ACM Transactions on Asian Language Information Processing","","1530-0226","10.1145/1066078.1066080","https://doi.org/10.1145/1066078.1066080","In recent years, various types of tagged corpora have been constructed and much research using tagged corpora has been done. However, tagged corpora contain errors, which impedes the progress of research. Therefore, the correction of errors in corpora is an important research issue. In this study we investigate the correction of such errors, which we call corpus correction. Using machine-learning methods, we applied corpus correction to a verb modality corpus for machine translation. We used the maximum-entropy and decision-list methods as machine-learning methods. We compared several kinds of methods for corpus correction in our experiments, and determined which is most effective by using a statistical test. We obtained several noteworthy findings: (1) Precision was almost the same for both detection and correction, so it is more convenient to do both correction and detection, rather than detection only. (2) In general, the maximum-entropy method worked better than the decision-list method; but the two methods had almost the same precision for the top 50 pieces of extracted data when closed data was used. (3) In terms of precision, the use of closed data was better than the use of open data; however, in terms of the total number of extracted errors, the use of open data was better than the use of closed data. Based on our analysis of these results, we developed a good method for corpus correction. We confirmed the effectiveness of our method by carrying out experiments on machine translation. As corpus-based machine translation continues to be developed, the corpus correction we discuss in this article should prove to be increasingly significant.","2005-03","2021-06-23 11:37:05","2021-06-23 11:37:05","","18–37","","1","4","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","corpus correction; machine learning; machine translation; modality corpus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJQ3JT2B","conferencePaper","2010","Eidelman, Vladimir; Dyer, Chris; Resnik, Philip","The University of Maryland Statistical Machine Translation System for the Fifth Workshop on Machine Translation","Proceedings of the Joint Fifth Workshop on Statistical Machine Translation and MetricsMATR","978-1-932432-71-8","","","","This paper describes the system we developed to improve German-English translation of News text for the shared task of the Fifth Workshop on Statistical Machine Translation. Working within cdec, an open source modular framework for machine translation, we explore the benefits of several modifications to our hierarchical phrase-based model, including segmentation lattices, minimum Bayes Risk decoding, grammar extraction methods, and varying language models. Furthermore, we analyze decoder speed and memory performance across our set of models and show there is an important trade-off that needs to be made.","2010","2021-06-23 11:37:05","2021-06-23 11:37:05","","72–76","","","","","","","WMT '10","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Uppsala, Sweden","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97JYL9RU","conferencePaper","2012","Harriehausen-Mühlbauer, Bettina; Heuss, Timm","Semantic Web Based Machine Translation","Proceedings of the Joint Workshop on Exploiting Synergies between Information Retrieval and Machine Translation (ESIRMT) and Hybrid Approaches to Machine Translation (HyTra)","978-1-937284-19-0","","","","This paper describes the experimental combination of traditional Natural Language Processing (NLP) technology with the Semantic Web building stack in order to extend the expert knowledge required for a Machine Translation (MT) task. Therefore, we first give a short introduction in the state of the art of MT and the Semantic Web and discuss the problem of disambiguation being one of the common challenges in MT which can only be solved using world knowledge during the disambiguation process. In the following, we construct a sample sentence which demonstrates the need for world knowledge and design a prototypical program as a successful solution for the outlined translation problem. We conclude with a critical view on the developed approach.","2012","2021-06-23 11:37:06","2021-06-23 11:37:06","","1–9","","","","","","","EACL 2012","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Avignon, France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZNFWQ5AT","journalArticle","1985","Bennett, Winfield S.; Slocum, Jonathan","The LRC Machine Translation System","Comput. Linguist.","","0891-2017","","","The Linguistics Research Center (LRC) of the University of Texas at Austin is currently developing METAL, a fully-automatic high quality Machine Translation (MT) system. After outlining the history and status of the project, this paper discusses the system's projected application environment and briefly describes our general translation approach. After detailing the salient linguistic and computational techniques on which METAL is based, we consider some of the practical aspects of such an application, including experimental results that imply the system is now ready for production use. Two exhibits are appended: a German original text and its raw METAL translation. (This is not the best translation ever produced by METAL, but it is better than average.) We close by indicating some future directions for the project.","1985-04","2021-06-23 11:37:07","2021-06-23 11:37:07","","111–121","","2–3","11","","","","","","","","","","","","","","","","","Place: Cambridge, MA, USA Publisher: MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYE3L57L","conferencePaper","2012","Kirkedal, Andreas","Tree-Based Hybrid Machine Translation","Proceedings of the Joint Workshop on Exploiting Synergies between Information Retrieval and Machine Translation (ESIRMT) and Hybrid Approaches to Machine Translation (HyTra)","978-1-937284-19-0","","","","I present an automatic post-editing approach that combines translation systems which produce syntactic trees as output. The nodes in the generation tree and target-side SCFG tree are aligned and form the basis for computing structural similarity. Structural similarity computation aligns subtrees and based on this alignment, subtrees are substituted to create more accurate translations. Two different techniques have been implemented to compute structural similarity: leaves and tree-edit distance. I report on the translation quality of a machine translation (MT) system where both techniques are implemented. The approach shows significant improvement over the baseline for MT systems with limited training data and structural improvement for MT systems trained on Europarl.","2012","2021-06-23 11:37:07","2021-06-23 11:37:07","","77–86","","","","","","","EACL 2012","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Avignon, France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3B5GPGSF","conferencePaper","2010","Sato, Satoshi","Non-Productive Machine Transliteration","Adaptivity, Personalization and Fusion of Heterogeneous Information","","","","","This paper proposes a new framework of machine transliteration, called non-productive machine transliteration. In this framework, it is assumed that a large candidate list including the correct transliteration is given. Therefore, the transliteration problem is simplified into the selection problem of the correct entry from the large list. We have developed an efficient algorithm of this framework and applied it to English-Japanese transliteration of person names. Experimental results show that our algorithm is practical even if the size of the candidate list is over a million.","2010","2021-06-23 11:37:08","2021-06-23 11:37:08","","16–19","","","","","","","RIAO '10","","","","LE CENTRE DE HAUTES ETUDES INTERNATIONALES D'INFORMATIQUE DOCUMENTAIRE","Paris, FRA","","","","","","","","event-place: Paris, France","","","","machine transliteration; person-name transliteration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DU82SP7R","conferencePaper","2007","Callison-Burch, Chris; Fordyce, Cameron; Koehn, Philipp; Monz, Christof; Schroeder, Josh","(Meta-) Evaluation of Machine Translation","Proceedings of the Second Workshop on Statistical Machine Translation","","","","","This paper evaluates the translation quality of machine translation systems for 8 language pairs: translating French, German, Spanish, and Czech to English and back. We carried out an extensive human evaluation which allowed us not only to rank the different MT systems, but also to perform higher-level analysis of the evaluation process. We measured timing and intra- and inter-annotator agreement for three types of subjective evaluation. We measured the correlation of automatic evaluation metrics with human judgments. This meta-evaluation reveals surprising facts about the most commonly used methodologies.","2007","2021-06-23 11:37:08","2021-06-23 11:37:08","","136–158","","","","","","","StatMT '07","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Prague, Czech Republic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JI5AHWW","conferencePaper","2011","Goyal, Vishal; Lehal, Gurpreet Singh","Hindi to Punjabi Machine Translation System","Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics: Human Language Technologies: Systems Demonstrations","978-1-932432-90-9","","","","Hindi-Punjabi being closely related language pair (Goyal V. and Lehal G. S., 2008), Hybrid Machine Translation approach has been used for developing Hindi to Punjabi Machine Translation System. Non-availability of lexical resources, spelling variations in the source language text, source text ambiguous words, named entity recognition and collocations are the major challenges faced while developing this syetm. The key activities involved during translation process are preprocessing, translation engine and post processing. Lookup algorithms, pattern matching algorithms etc formed the basis for solving these issues. The system accuracy has been evaluated using intelligibility test, accuracy test and BLEU score. The hybrid syatem is found to perform better than the constituent systems.","2011","2021-06-23 11:37:09","2021-06-23 11:37:09","","1–6","","","","","","","HLT '11","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Portland, Oregon","","","","closely related languages; computational linguistics; Hindi; machine translation; natural language processing; Punjabi; translate Hindi to Punjabi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
