Item Title,Item DOI,Publication Year,URL,Content Type,Source
Machine Translation,10.1007/978-981-10-3635-4,2016,http://link.springer.com/book/10.1007/978-981-10-3635-4,Book,Springer
Machine Translation,10.1007/978-981-10-7134-8,2017,http://link.springer.com/book/10.1007/978-981-10-7134-8,Book,Springer
Introduction to the special issue on “Automated Metrics for Machine Translation Evaluation”,10.1007/s10590-010-9071-8,2009,http://link.springer.com/article/10.1007/s10590-010-9071-8,Article,Springer
A Machine-Learning Framework for Hybrid Machine Translation,10.1007/978-3-642-33347-7_4,2012,http://link.springer.com/chapter/10.1007/978-3-642-33347-7_4,Chapter,Springer
Defining a Human-Machine Teaming Model for AI-Powered Human-Centered Machine Translation Agent by Learning from Human-Human Group Discussion: Dialog Categories and Dialog Moves,10.1007/978-3-030-50334-5_5,2020,http://link.springer.com/chapter/10.1007/978-3-030-50334-5_5,Chapter,Springer
machine translation,10.1007/1-4020-0613-6_10823,2001,http://link.springer.com/referenceworkentry/10.1007/1-4020-0613-6_10823,ReferenceWorkEntry,Springer
"ATTN: Machine translation makers and shakers, doers and watchers",10.1007/BF00239674,1992,http://link.springer.com/article/10.1007/BF00239674,Article,Springer
A Machine Learning-Based Evaluation Method for Machine Translation,10.1007/978-3-642-12842-4_42,2010,http://link.springer.com/chapter/10.1007/978-3-642-12842-4_42,Chapter,Springer
Searching for Poor Quality Machine Translated Text: Learning the Difference between Human Writing and Machine Translations,10.1007/978-3-642-30353-1_5,2012,http://link.springer.com/chapter/10.1007/978-3-642-30353-1_5,Chapter,Springer
Introduction to the second issue on machine translation for low-resource languages,10.1007/s10590-021-09265-1,2021,http://link.springer.com/article/10.1007/s10590-021-09265-1,Article,Springer
Machine Learning Applied to Rule-Based Machine Translation,10.1007/978-3-319-21311-8_5,2016,http://link.springer.com/chapter/10.1007/978-3-319-21311-8_5,Chapter,Springer
Post-editing neural machine translation versus phrase-based machine translation for English–Chinese,10.1007/s10590-019-09229-6,2019,http://link.springer.com/article/10.1007/s10590-019-09229-6,Article,Springer
Quality Estimation for Machine Translation with Multi-granularity Interaction,10.1007/978-981-33-6162-1_5,2020,http://link.springer.com/chapter/10.1007/978-981-33-6162-1_5,Chapter,Springer
Analysis of the Chinese – Portuguese Machine Translation of Chinese Localizers Qian and Hou,10.1007/978-3-662-45701-6_7,2014,http://link.springer.com/chapter/10.1007/978-3-662-45701-6_7,Chapter,Springer
Adjusting Machine Translation Datasets for Document-Level Cross-Language Information Retrieval: Methodology,10.1007/978-3-030-00794-2_9,2018,http://link.springer.com/chapter/10.1007/978-3-030-00794-2_9,Chapter,Springer
Finding the Right Words: An Analysis of Not-Translated Words in Machine Translation,10.1007/3-540-49478-2_32,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_32,Chapter,Springer
Incorporating Syntactic Knowledge in Neural Quality Estimation for Machine Translation,10.1007/978-981-15-1721-1_3,2019,http://link.springer.com/chapter/10.1007/978-981-15-1721-1_3,Chapter,Springer
A Reordering Model for Phrase-Based Machine Translation,10.1007/978-3-540-85287-2_45,2008,http://link.springer.com/chapter/10.1007/978-3-540-85287-2_45,Chapter,Springer
Systematic Evaluation of Machine Translation Methods for Image and Video Annotation,10.1007/11526346_21,2005,http://link.springer.com/chapter/10.1007/11526346_21,Chapter,Springer
Czech-English Phrase-Based Machine Translation,10.1007/11816508_23,2006,http://link.springer.com/chapter/10.1007/11816508_23,Chapter,Springer
Dependency-Based Chinese-English Statistical Machine Translation,10.1007/978-3-540-70939-8_34,2007,http://link.springer.com/chapter/10.1007/978-3-540-70939-8_34,Chapter,Springer
Translation Paraphrases in Phrase-Based Machine Translation,10.1007/978-3-540-78135-6_33,2008,http://link.springer.com/chapter/10.1007/978-3-540-78135-6_33,Chapter,Springer
Modified BLEU for Measuring Performance of a Machine-Translation Software,10.1007/978-3-642-19403-0_51,2011,http://link.springer.com/chapter/10.1007/978-3-642-19403-0_51,Chapter,Springer
Target Word Selection Using WordNet and Data-Driven Models in Machine Translation,10.1007/3-540-45683-X_77,2002,http://link.springer.com/chapter/10.1007/3-540-45683-X_77,Chapter,Springer
ELEXR: Automatic Evaluation of Machine Translation Using Lexical Relationships,10.1007/978-3-642-45114-0_32,2013,http://link.springer.com/chapter/10.1007/978-3-642-45114-0_32,Chapter,Springer
Adding Multilingual Terminological Resources to Parallel Corpora for Statistical Machine Translation Deteriorates System Performance: A Negative Result from Experiments in the Biomedical Domain,10.1007/978-3-319-24033-6_57,2015,http://link.springer.com/chapter/10.1007/978-3-319-24033-6_57,Chapter,Springer
A Prolog-based Korean-English Machine Translation System and its efficient method of dictionary management,10.1007/3-540-16479-0_23,1986,http://link.springer.com/chapter/10.1007/3-540-16479-0_23,Chapter,Springer
A Lost Croatian Cybernetic Machine Translation Program,10.1007/978-3-030-37591-1_7,2020,http://link.springer.com/chapter/10.1007/978-3-030-37591-1_7,Chapter,Springer
Word-Level Confidence Estimation for Statistical Machine Translation Using IBM-1 Model,10.1007/978-3-319-10849-0_25,2014,http://link.springer.com/chapter/10.1007/978-3-319-10849-0_25,Chapter,Springer
Phrase-Level Pattern-Based Machine Translation Based on Analogical Mapping Method,10.1007/978-3-642-33983-7_4,2012,http://link.springer.com/chapter/10.1007/978-3-642-33983-7_4,Chapter,Springer
Ensemble Distilling Pretrained Language Models for Machine Translation Quality Estimation,10.1007/978-3-030-60457-8_19,2020,http://link.springer.com/chapter/10.1007/978-3-030-60457-8_19,Chapter,Springer
Text Classification in the Domain of Applied Linguistics as Part of a Pre-editing Module for Machine Translation Systems,10.1007/978-3-319-43958-7_84,2016,http://link.springer.com/chapter/10.1007/978-3-319-43958-7_84,Chapter,Springer
"Ruslan Mitkov, Johanna Monti, Gloria Corpas Pastor, and Violeta Seretan (eds): Multiword units in machine translation and translation technology",10.1007/s10590-019-09239-4,2019,http://link.springer.com/article/10.1007/s10590-019-09239-4,Article,Springer
Chinese–Spanish neural machine translation enhanced with character and word bitmap fonts,10.1007/s10590-017-9196-0,2017,http://link.springer.com/article/10.1007/s10590-017-9196-0,Article,Springer
"NJUNLP’s Machine Translation System for CCMT-2020 Uighur 
            
              
            
            $$\rightarrow $$
            
              →
            
           Chinese Translation Task",10.1007/978-981-33-6162-1_7,2020,http://link.springer.com/chapter/10.1007/978-981-33-6162-1_7,Chapter,Springer
Malay-Corpus-Enhanced Indonesian-Chinese Neural Machine Translation,10.1007/978-981-13-6473-0_21,2019,http://link.springer.com/chapter/10.1007/978-981-13-6473-0_21,Chapter,Springer
An Integrated Reordering Model for Statistical Machine Translation,10.1007/978-3-540-76631-5_91,2007,http://link.springer.com/chapter/10.1007/978-3-540-76631-5_91,Chapter,Springer
Machine Translation of Legal Information and Its Evaluation,10.1007/978-3-642-01818-3_9,2009,http://link.springer.com/chapter/10.1007/978-3-642-01818-3_9,Chapter,Springer
Neural Machine Translation with Attention Based on a New Syntactic Branch Distance,10.1007/978-981-15-1721-1_5,2019,http://link.springer.com/chapter/10.1007/978-981-15-1721-1_5,Chapter,Springer
Automatic Machine Translation Evaluation with Part-of-Speech Information,10.1007/978-3-642-40585-3_16,2013,http://link.springer.com/chapter/10.1007/978-3-642-40585-3_16,Chapter,Springer
Neural Machine Translation Based on Prioritized Experience Replay,10.1007/978-3-030-61616-8_29,2020,http://link.springer.com/chapter/10.1007/978-3-030-61616-8_29,Chapter,Springer
Unification based machine translation,10.1007/3-540-53082-7_23,1990,http://link.springer.com/chapter/10.1007/3-540-53082-7_23,Chapter,Springer
Automatic Evaluation of Machine Translation Through the Residual Analysis,10.1007/978-3-319-22053-6_51,2015,http://link.springer.com/chapter/10.1007/978-3-319-22053-6_51,Chapter,Springer
Application of Machine Translation in China-America Digital Academic Library,10.1007/978-0-387-44641-7_53,2007,http://link.springer.com/chapter/10.1007/978-0-387-44641-7_53,Chapter,Springer
A Classifier-Based Preordering Approach for English-Vietnamese Statistical Machine Translation,10.1007/978-3-319-75487-1_7,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_7,Chapter,Springer
Automatic Building of a Machine Translation Bilingual Dictionary Using Recursive Chain-Link-Type Learning from a Parallel Corpus,10.1007/978-3-540-24694-7_42,2004,http://link.springer.com/chapter/10.1007/978-3-540-24694-7_42,Chapter,Springer
Integration of Neural Machine Translation Systems for Formatting-Rich Document Translation,10.1007/978-3-319-91947-8_51,2018,http://link.springer.com/chapter/10.1007/978-3-319-91947-8_51,Chapter,Springer
A Machine-Translation Method for Normalization of SMS,10.1007/978-3-642-31149-9_30,2012,http://link.springer.com/chapter/10.1007/978-3-642-31149-9_30,Chapter,Springer
"Philipp Koehn, Statistical machine translation",10.1007/s10590-010-9083-4,2010,http://link.springer.com/article/10.1007/s10590-010-9083-4,Article,Springer
Integrating Knowledge Encoded by Linguistic Phenomena of Indian Languages with Neural Machine Translation,10.1007/978-3-319-71928-3_28,2017,http://link.springer.com/chapter/10.1007/978-3-319-71928-3_28,Chapter,Springer
From syntax to semantics: Insights from machine translation,10.1007/BF00420844,1989,http://link.springer.com/article/10.1007/BF00420844,Article,Springer
Statistical Machine Translation,10.1007/978-0-387-30164-8_783,2010,http://link.springer.com/referenceworkentry/10.1007/978-0-387-30164-8_783,ReferenceWorkEntry,Springer
Sparse Hierarchical Modeling of Deep Contextual Attention for Document-Level Neural Machine Translation,10.1007/978-3-030-63830-6_67,2020,http://link.springer.com/chapter/10.1007/978-3-030-63830-6_67,Chapter,Springer
Experimenting with Different Machine Translation Models in Medium-Resource Settings,10.1007/978-3-030-58323-1_10,2020,http://link.springer.com/chapter/10.1007/978-3-030-58323-1_10,Chapter,Springer
Mongolian-Chinese Unsupervised Neural Machine Translation with Lexical Feature,10.1007/978-3-030-32381-3_27,2019,http://link.springer.com/chapter/10.1007/978-3-030-32381-3_27,Chapter,Springer
A Comparison of Character-Based Neural Machine Translations Techniques Applied to Spelling Normalization,10.1007/978-3-030-68787-8_24,2021,http://link.springer.com/chapter/10.1007/978-3-030-68787-8_24,Chapter,Springer
A Machine Translation System for Translating from the Polish Natural Language into the Sign Language,10.1007/978-3-319-15702-3_9,2015,http://link.springer.com/chapter/10.1007/978-3-319-15702-3_9,Chapter,Springer
Korean-Chinese Machine Translation Based on Verb Patterns,10.1007/3-540-45820-4_10,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_10,Chapter,Springer
Tamil to Hindi Machine Transliteration Using Support Vector Machines,10.1007/978-3-642-32573-1_44,2012,http://link.springer.com/chapter/10.1007/978-3-642-32573-1_44,Chapter,Springer
EUROGENE: Multilingual Retrieval and Machine Translation Applied to Human Genetics,10.1007/978-3-642-12275-0_74,2010,http://link.springer.com/chapter/10.1007/978-3-642-12275-0_74,Chapter,Springer
Treatment of Quantifiers in Chinese-Japanese Machine Translation,10.1007/978-3-540-37275-2_117,2006,http://link.springer.com/chapter/10.1007/978-3-540-37275-2_117,Chapter,Springer
Compact WFSA Based Language Model and Its Application in Statistical Machine Translation,10.1007/978-3-642-34456-5_15,2012,http://link.springer.com/chapter/10.1007/978-3-642-34456-5_15,Chapter,Springer
Tsinghua University Neural Machine Translation Systems for CCMT 2020,10.1007/978-981-33-6162-1_9,2020,http://link.springer.com/chapter/10.1007/978-981-33-6162-1_9,Chapter,Springer
An Experiment in Spanish-Portuguese Statistical Machine Translation,10.1007/978-3-540-88190-2_30,2008,http://link.springer.com/chapter/10.1007/978-3-540-88190-2_30,Chapter,Springer
A General Framework to Deal with the Scaling Problem in Phrase-Based Statistical Machine Translation,10.1007/978-3-540-72849-8_40,2007,http://link.springer.com/chapter/10.1007/978-3-540-72849-8_40,Chapter,Springer
Czech-Sign Speech Corpus for Semantic Based Machine Translation,10.1007/11846406_77,2006,http://link.springer.com/chapter/10.1007/11846406_77,Chapter,Springer
Genetic-Based Decoder for Statistical Machine Translation,10.1007/978-3-319-75487-1_9,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_9,Chapter,Springer
OpenMaTrEx: A Free/Open-Source Marker-Driven Example-Based Machine Translation System,10.1007/978-3-642-14770-8_15,2010,http://link.springer.com/chapter/10.1007/978-3-642-14770-8_15,Chapter,Springer
Translator knowledge base for machine translation systems,10.1007/BF00417652,1991,http://link.springer.com/article/10.1007/BF00417652,Article,Springer
MSD Recombination for Statistical Machine Translation into Highly-Inflected Languages,10.1007/978-3-540-87391-4_31,2008,http://link.springer.com/chapter/10.1007/978-3-540-87391-4_31,Chapter,Springer
"Sharon O’Brien, Laura Winther Balling, Michael Carl, Michel Simard and Lucia Specia: Post-editing of machine translation: processes and applications",10.1007/s10590-014-9158-8,2015,http://link.springer.com/article/10.1007/s10590-014-9158-8,Article,Springer
Text Segmentation Criteria for Statistical Machine Translation,10.1007/11816508_66,2006,http://link.springer.com/chapter/10.1007/11816508_66,Chapter,Springer
Incorporation of Linguistic Features in Machine Translation Evaluation of Arabic,10.1007/978-3-319-96292-4_39,2018,http://link.springer.com/chapter/10.1007/978-3-319-96292-4_39,Chapter,Springer
Feature Rich Translation Model for Example-Based Machine Translation,10.1007/11940098_36,2006,http://link.springer.com/chapter/10.1007/11940098_36,Chapter,Springer
Classification Approach to Word Selection in Machine Translation,10.1007/3-540-45820-4_12,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_12,Chapter,Springer
Handling Unknown Words in Statistical Machine Translation from a New Perspective,10.1007/978-3-642-34456-5_17,2012,http://link.springer.com/chapter/10.1007/978-3-642-34456-5_17,Chapter,Springer
A Semantic Concept Based Unknown Words Processing Method in Neural Machine Translation,10.1007/978-3-319-73618-1_20,2018,http://link.springer.com/chapter/10.1007/978-3-319-73618-1_20,Chapter,Springer
A Prototype English-Japanese Machine Translation System,10.1007/978-1-4615-3170-8_8,1993,http://link.springer.com/chapter/10.1007/978-1-4615-3170-8_8,Chapter,Springer
A Preliminary Attempt to Evaluate Machine Translations of Ukiyo-e Metadata Records,10.1007/978-3-030-64452-9_24,2020,http://link.springer.com/chapter/10.1007/978-3-030-64452-9_24,Chapter,Springer
Dynamic Translation Memory: Using Statistical Machine Translation to Improve Translation Memory Fuzzy Matches,10.1007/978-3-540-78135-6_39,2008,http://link.springer.com/chapter/10.1007/978-3-540-78135-6_39,Chapter,Springer
The Negative Effect of Machine Translation on Cross–Lingual Question Answering,10.1007/978-3-540-70939-8_44,2007,http://link.springer.com/chapter/10.1007/978-3-540-70939-8_44,Chapter,Springer
Introduction: Special issue on building lexicons for machine translation,10.1007/BF00980576,1994,http://link.springer.com/article/10.1007/BF00980576,Article,Springer
Hungarian-English Machine Translation Using GenPar,10.1007/11846406_11,2006,http://link.springer.com/chapter/10.1007/11846406_11,Chapter,Springer
Free/open-source machine translation: preface,10.1007/s10590-011-9113-x,2011,http://link.springer.com/article/10.1007/s10590-011-9113-x,Article,Springer
A Semi-supervised Approach to Bengali-English Phrase-Based Statistical Machine Translation,10.1007/978-3-642-01818-3_45,2009,http://link.springer.com/chapter/10.1007/978-3-642-01818-3_45,Chapter,Springer
Improved Arabic-French Machine Translation through Preprocessing Schemes and Language Analysis,10.1007/978-3-642-38457-8_31,2013,http://link.springer.com/chapter/10.1007/978-3-642-38457-8_31,Chapter,Springer
Rapid Prototyping of Domain-Specific Machine Translation Systems,10.1007/3-540-49478-2_9,1998,http://link.springer.com/chapter/10.1007/3-540-49478-2_9,Chapter,Springer
Enriching Character-Based Neural Machine Translation with Modern Documents for Achieving an Orthography Consistency in Historical Documents,10.1007/978-3-030-30754-7_7,2019,http://link.springer.com/chapter/10.1007/978-3-030-30754-7_7,Chapter,Springer
Phrase-Based Statistical Machine Translation for a Low-Density Language Pair,10.1007/978-3-642-13059-5_27,2010,http://link.springer.com/chapter/10.1007/978-3-642-13059-5_27,Chapter,Springer
Semantic Analysis of Chinese Prepositional Phrases for Patent Machine Translation,10.1007/978-3-642-41491-6_31,2013,http://link.springer.com/chapter/10.1007/978-3-642-41491-6_31,Chapter,Springer
Bi-text Alignment of Movie Subtitles for Spoken English-Arabic Statistical Machine Translation,10.1007/978-3-319-75487-1_11,2018,http://link.springer.com/chapter/10.1007/978-3-319-75487-1_11,Chapter,Springer
Neural Machine Translation for Morphologically Rich Languages with Improved Sub-word Units and Synthetic Data,10.1007/978-3-319-64206-2_27,2017,http://link.springer.com/chapter/10.1007/978-3-319-64206-2_27,Chapter,Springer
"Text Generation, Machine Translation, and Other Recurrent Language Modeling Tasks",10.1007/978-1-4842-3733-5_5,2018,http://link.springer.com/chapter/10.1007/978-1-4842-3733-5_5,Chapter,Springer
Manageable Phrase-Based Statistical Machine Translation Models,10.1007/978-3-540-75175-5_55,2007,http://link.springer.com/chapter/10.1007/978-3-540-75175-5_55,Chapter,Springer
TencentFmRD Neural Machine Translation System,10.1007/978-981-13-3083-4_11,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_11,Chapter,Springer
A Customized Lexicalized Reordering Model for Machine Translation between Chinese and English,10.1007/978-3-642-45185-0_38,2013,http://link.springer.com/chapter/10.1007/978-3-642-45185-0_38,Chapter,Springer
Look-Ahead Attention for Generation in Neural Machine Translation,10.1007/978-3-319-73618-1_18,2018,http://link.springer.com/chapter/10.1007/978-3-319-73618-1_18,Chapter,Springer
A Lexical-Functional approach to Japanese for the purpose of machine translation,10.1007/BF00936420,1986,http://link.springer.com/article/10.1007/BF00936420,Article,Springer
Using Bilingual Segments to Improve Interactive Machine Translation,10.1007/978-3-319-73618-1_22,2018,http://link.springer.com/chapter/10.1007/978-3-319-73618-1_22,Chapter,Springer
Combining Machine Translation Systems with Quality Estimation,10.1007/978-3-319-77116-8_32,2018,http://link.springer.com/chapter/10.1007/978-3-319-77116-8_32,Chapter,Springer
Translation Model of Myanmar Phrases for Statistical Machine Translation,10.1007/978-3-642-25944-9_31,2012,http://link.springer.com/chapter/10.1007/978-3-642-25944-9_31,Chapter,Springer
Improving Conversational Spoken Language Machine Translation via Pronoun Recovery,10.1007/978-981-10-0080-5_20,2015,http://link.springer.com/chapter/10.1007/978-981-10-0080-5_20,Chapter,Springer
Research of Uyghur-Chinese Machine Translation System Combination Based on Semantic Information,10.1007/978-3-030-32236-6_45,2019,http://link.springer.com/chapter/10.1007/978-3-030-32236-6_45,Chapter,Springer
Training Set Similarity Based Parameter Selection for Statistical Machine Translation,10.1007/978-3-319-96890-2_6,2018,http://link.springer.com/chapter/10.1007/978-3-319-96890-2_6,Chapter,Springer
Reaction to Somers: Current research in Machine Translation,10.1007/BF00398468,1992,http://link.springer.com/article/10.1007/BF00398468,Article,Springer
Neural Machine Translation System for Indic Languages Using Deep Neural Architecture,10.1007/978-981-10-8657-1_62,2018,http://link.springer.com/chapter/10.1007/978-981-10-8657-1_62,Chapter,Springer
Anuvaad Pranaali: A RESTful API for Machine Translation,10.1007/978-3-319-68136-8_20,2017,http://link.springer.com/chapter/10.1007/978-3-319-68136-8_20,Chapter,Springer
The Influence of Different Methods on the Quality of the Russian-Tatar Neural Machine Translation,10.1007/978-3-030-59535-7_18,2020,http://link.springer.com/chapter/10.1007/978-3-030-59535-7_18,Chapter,Springer
The Systran NLP Browser: An Application of Machine Translation Technology in Cross-Language Information Retrieval,10.1007/978-1-4615-5661-9_9,1998,http://link.springer.com/chapter/10.1007/978-1-4615-5661-9_9,Chapter,Springer
Integration of a Spanish-to-LSE Machine Translation System into an e-learning Platform,10.1007/978-3-642-21657-2_61,2011,http://link.springer.com/chapter/10.1007/978-3-642-21657-2_61,Chapter,Springer
Machine Translation from Japanese to Robot Language for Human-Friendly Communication,10.1007/978-3-030-50726-8_33,2020,http://link.springer.com/chapter/10.1007/978-3-030-50726-8_33,Chapter,Springer
The Impact of Named Entity Translation for Neural Machine Translation,10.1007/978-981-13-3083-4_6,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_6,Chapter,Springer
A first-pass approach for evaluating machine translation systems,10.1007/BF00981242,1993,http://link.springer.com/article/10.1007/BF00981242,Article,Springer
The Use of a Structural N-gram Language Model in Generation-Heavy Hybrid Machine Translation,10.1007/978-3-540-27823-8_7,2004,http://link.springer.com/chapter/10.1007/978-3-540-27823-8_7,Chapter,Springer
"W. John Hutchins (ed.), Early Years in Machine Translation: Memoirs and Biographies of Pioneers, Vol. 97 Amsterdam Studies in the Theory and History of Linguistic Science",10.1023/B:COAT.0000021732.15869.57,2003,http://link.springer.com/article/10.1023/B%3ACOAT.0000021732.15869.57,Article,Springer
Pushpak Bhattacharyya: Machine translation,10.1007/s10590-015-9170-7,2015,http://link.springer.com/article/10.1007/s10590-015-9170-7,Article,Springer
Improved Neural Machine Translation with Chinese Phonologic Features,10.1007/978-3-319-99495-6_26,2018,http://link.springer.com/chapter/10.1007/978-3-319-99495-6_26,Chapter,Springer
Word Reordering Approaches for Bangla-English Statistical Machine Translation,10.1007/978-3-642-13059-5_29,2010,http://link.springer.com/chapter/10.1007/978-3-642-13059-5_29,Chapter,Springer
An Ensemble of Grapheme and Phoneme for Machine Transliteration,10.1007/11562214_40,2005,http://link.springer.com/chapter/10.1007/11562214_40,Chapter,Springer
Bilingual Machine Translation System Between Hindi and Sanskrit Languages,10.1007/978-981-15-0108-1_29,2019,http://link.springer.com/chapter/10.1007/978-981-15-0108-1_29,Chapter,Springer
Multilingual Machine Translation of Closed Captions for Digital Television with Dynamic Dictionary Adaptation,10.1007/11940098_44,2006,http://link.springer.com/chapter/10.1007/11940098_44,Chapter,Springer
A Mixed Learning Objective for Neural Machine Translation,10.1007/978-3-030-63031-7_15,2020,http://link.springer.com/chapter/10.1007/978-3-030-63031-7_15,Chapter,Springer
"Getting the Message In: A Global Company’s Experience with the New Generation of Low-Cost, High Performance Machine Translation Systems",10.1007/3-540-45820-4_20,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_20,Chapter,Springer
Corpus Based Machine Translation for Scientific Text,10.1007/978-3-319-92007-8_17,2018,http://link.springer.com/chapter/10.1007/978-3-319-92007-8_17,Chapter,Springer
Cost-Aware Learning Rate for Neural Machine Translation,10.1007/978-3-319-69005-6_8,2017,http://link.springer.com/chapter/10.1007/978-3-319-69005-6_8,Chapter,Springer
Zero Anaphora Resolution in Chinese and Its Application in Chinese-English Machine Translation,10.1007/978-3-540-73351-5_32,2007,http://link.springer.com/chapter/10.1007/978-3-540-73351-5_32,Chapter,Springer
An English-Hindi Statistical Machine Translation System,10.1007/978-3-540-30211-7_27,2005,http://link.springer.com/chapter/10.1007/978-3-540-30211-7_27,Chapter,Springer
Log-Linear Weight Optimization Using Discriminative Ridge Regression Method in Statistical Machine Translation,10.1007/978-3-319-58838-4_4,2017,http://link.springer.com/chapter/10.1007/978-3-319-58838-4_4,Chapter,Springer
The Direct Path May Not Be The Best: Portuguese-Chinese Neural Machine Translation,10.1007/978-3-030-30244-3_62,2019,http://link.springer.com/chapter/10.1007/978-3-030-30244-3_62,Chapter,Springer
Cross-Lingual Question Answering Using Off-the-Shelf Machine Translation,10.1007/11519645_44,2005,http://link.springer.com/chapter/10.1007/11519645_44,Chapter,Springer
Thinking Like Humans: A New Approach to Machine Translation,10.1007/978-981-13-9129-3_18,2019,http://link.springer.com/chapter/10.1007/978-981-13-9129-3_18,Chapter,Springer
A Hybrid Neural Machine Translation Technique for Translating Low Resource Languages,10.1007/978-3-319-96133-0_26,2018,http://link.springer.com/chapter/10.1007/978-3-319-96133-0_26,Chapter,Springer
The Explanatory Combinatorial Dictionary as the Key Tool in Machine Translation,10.1007/11816508_2,2006,http://link.springer.com/chapter/10.1007/11816508_2,Chapter,Springer
"Yorick Wilks, Machine Translation: Its Scope and Limits",10.1007/s10590-009-9067-4,2009,http://link.springer.com/article/10.1007/s10590-009-9067-4,Article,Springer
Refining Kazakh Word Alignment Using Simulation Modeling Methods for Statistical Machine Translation,10.1007/978-3-319-25207-0_38,2015,http://link.springer.com/chapter/10.1007/978-3-319-25207-0_38,Chapter,Springer
Controlling the Transition of Hidden States for Neural Machine Translation,10.1007/978-981-13-3083-4_8,2019,http://link.springer.com/chapter/10.1007/978-981-13-3083-4_8,Chapter,Springer
Constructive machine translation evaluation,10.1007/BF00981244,1993,http://link.springer.com/article/10.1007/BF00981244,Article,Springer
Identification of Subject Shareness for Korean-English Machine Translation,10.1007/978-3-540-89197-0_22,2008,http://link.springer.com/chapter/10.1007/978-3-540-89197-0_22,Chapter,Springer
Statistical Machine Translation from Slovenian to English Using Reduced Morphology,10.1007/978-3-642-04235-5_39,2009,http://link.springer.com/chapter/10.1007/978-3-642-04235-5_39,Chapter,Springer
A Content-Based Neural Reordering Model for Statistical Machine Translation,10.1007/978-981-10-7134-8_11,2017,http://link.springer.com/chapter/10.1007/978-981-10-7134-8_11,Chapter,Springer
Source Segment Encoding for Neural Machine Translation,10.1007/978-3-319-99495-6_28,2018,http://link.springer.com/chapter/10.1007/978-3-319-99495-6_28,Chapter,Springer
Reading Comprehension in Czech via Machine Translation and Cross-Lingual Transfer,10.1007/978-3-030-58323-1_18,2020,http://link.springer.com/chapter/10.1007/978-3-030-58323-1_18,Chapter,Springer
SyMGiza++: Symmetrized Word Alignment Models for Statistical Machine Translation,10.1007/978-3-642-25261-7_30,2012,http://link.springer.com/chapter/10.1007/978-3-642-25261-7_30,Chapter,Springer
Bootstrapping the Lexicon Building Process for Machine Translation between ‘New’ Languages,10.1007/3-540-45820-4_18,2002,http://link.springer.com/chapter/10.1007/3-540-45820-4_18,Chapter,Springer
